id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
ohio_data_center_financing_closure,Closure of Ohio OpenAI data‑center financing,event,horizon,3 months,,2026-08-17,2026-11-17,0.8,222.0,177.6,25.6,22.2,4,"ai_infra_financing_vol, financing_backstop_preva, energy_grid_pressure, compute_supply_conc",Headlines: 'OpenAI Locks In Lease for Huge Data Center in Ohio With Backing From Nvidia'; 'Nvidia to invest $100bn for OpenAI data centre in Ohio'.
open_source_ai_competition,Open‑source and non‑US AI challengers scale models,process,horizon,6 months,,2026-08-17,2027-02-17,0.7,163.0,114.1,22.286,23.286,3,"compute_capacity_demand, model_pricing_pressure, market_concentration",Headlines: 'ByteDance targets mega AI model nearing Anthropic’s Mythos'; 'The next China shock will come from open‑source AI'.
ai_cybersecurity_incidents_rise,Rising AI‑enabled cyber incidents and bios risks,process,horizon,3 months,,2026-08-15,2026-11-15,0.75,148.0,111.0,18.333,24.667,3,"cyber_threat_level, regulatory_stringency, investor_risk_tolerance",Headlines: 'AI creates first synthetic viruses'; 'AI has opened up big holes in cyber security'.
china_credit_contraction_policy_response,China credit slump and likely policy responses,process,horizon,4 months,,2026-08-15,2026-12-15,0.7,144.0,100.8,25.0,24.0,3,"ai_infra_financing_vol, investor_risk_tolerance, industrial_policy_level",Headlines: 'China July bank loans post record contraction'; 'China investment slump deepens as economy shows signs of weakness'.
ai_financing_backstop_normalization,Wider adoption of AI financing backstops,process,horizon,3 months,,2026-08-16,2026-11-16,0.75,142.0,106.5,24.857,20.286,3,"financing_backstop_preva, investor_risk_tolerance, ai_infra_financing_vol",Headline: 'New AI financing backstops allows compute buyers more control'; 'Nvidia financing initiative follows SEC guidance'.
nvidia_guarantee_reduction,Nvidia scales back OpenAI data‑center guarantee,process,horizon,2 months,,2026-08-15,2026-10-15,0.85,142.0,120.7,24.857,20.286,3,"financing_backstop_preva, ai_infra_financing_vol, investor_risk_tolerance",Headlines: 'Nvidia scales back $250 billion OpenAI data center guarantee'; 'cuts planned OpenAI data center guarantee to below $120 billion'.
model_price_war_intensifies,Price war among major model providers,process,horizon,3 months,,2026-08-15,2026-11-15,0.85,137.0,116.45,22.667,22.833,3,"model_pricing_pressure, compute_capacity_demand, market_concentration",Headline: 'OpenAI and Anthropic in price war as Chinese AI rivals gain ground'.
openai_ipo_push,OpenAI IPO process and related upheaval,process,horizon,6 months,,2026-08-17,2027-02-17,0.6,119.0,71.4,22.0,19.833,3,"corp_gov_stability, talent_mobility_rate, market_concentration","Headlines: 'OpenAI upheaval mounts as Sam Altman readies IPO push'; 'OpenAI talent exodus raises ""huge red flag"" ahead of IPO'."
smic_price_increase_effects,SMIC price hikes on AI demand,process,horizon,2 months,,2026-08-15,2026-10-15,0.8,68.0,54.4,22.333,22.667,2,"chip_supply_resilience, compute_supply_conc",Headline: 'Chinese chipmaker SMIC increases prices on strong AI demand'.
china_arctic_route_expansion,Expansion of China’s Arctic cargo route ('Ice Silk Road'),process,horizon,6 months,,2026-08-15,2027-02-15,0.7,48.0,33.6,9.75,12.0,2,"shipping_capacity_flex, chip_supply_resilience",Headlines: 'China Is Opening the First Regular Cargo Route Through the Arctic'; 'Ice Silk Road' coverage.
