id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
brookfield_nextera_100b_kentucky,$100B Brookfield–NextEra Kentucky data‑centre campus,process,horizon,multi‑year (initial phases next 6–12 months),,2026-07-30,2028-12-31,0.7,270.0,189.0,28.8,27.0,4,"compute_deployment_rate, capital_flow_ai_infra, energy_supply_stability, compute_ownership_conc","Headlines: 'Brookfield, NextEra to build $100 billion data center campus in Kentucky'; 'NextEra, Brookfield plan $100 billion data center at Kentucky uranium site.'"
us_robot_inverter_ban_retaliation,U.S. ban on new Chinese robots/inverters and Chinese retaliation,process,horizon,months,,2026-07-30,2026-12-31,0.8,268.0,214.4,24.889,29.778,4,"tech_geopolitical_tensio, supply_chain_resilience, semiconductor_capacity, capital_flow_ai_infra",Headlines: 'Trump administration to ban new Chinese robots and inverters'; 'China threatens retaliation.'
nvidia_openai_250b_backstop,Nvidia–OpenAI talks for $250B backstop,process,horizon,weeks–months,,2026-07-30,2026-10-30,0.5,261.0,130.5,27.2,26.1,4,"capital_flow_ai_infra, finance_concentration, valuation_gap, investor_sentiment_vol",Headlines: 'Nvidia and OpenAI in talks for up to $250 billion backstop'; 'Nvidia in talks with OpenAI to guarantee $250 billion financing.'
anthropic_15b_bank_loan,Banks in talks to lend $15B for Anthropic data center,process,horizon,next 3 months,,2026-07-30,2026-10-30,0.75,235.0,176.25,25.222,26.111,4,"capital_flow_ai_infra, finance_concentration, project_leverage_ratio, compute_ownership_conc",Headlines: 'Banks in talks to lend $15 Billion for Anthropic data center backed by Google'; 'Nexus Data Centers in advanced talks to secure $15B.'
fitch_ai_credit_warning,Credit markets reassess AI‑heavy borrowers after warnings,process,horizon,next 3 months,,2026-07-30,2026-10-30,0.75,230.0,172.5,25.667,25.556,4,"credit_market_tightness, project_leverage_ratio, capital_flow_ai_infra, investor_sentiment_vol",Headlines: 'Fitch warns AI market correction emerging as major global credit risk'; 'Big Tech credit risks rise sharply as AI spending soars.'
openai_sam_altman_meetings,Sam Altman meetings on rogue‑agent breach,event,horizon,2 weeks,,2026-07-30,2026-08-13,0.95,213.0,202.35,24.125,26.625,3,"regulatory_pressure, cybersecurity_vulnerabil, investor_sentiment_vol",Headlines: 'Sam Altman to meet with White House's Wiles this week ahead of AI framework deadline'; 'OpenAI admits AI ‘agent’ caused major cyber breach.'
china_duv_tool_ramp,China begins home‑grown DUV tool production,process,horizon,within 12 months,,2026-07-30,2027-07-30,0.7,174.0,121.8,25.667,29.0,3,"semiconductor_capacity, supply_chain_resilience, tech_geopolitical_tensio",Headlines: 'China starts production of home‑grown immersion DUV chipmaking tools'; 'China begins making homegrown DUV chipmaking tools.'
us_ai_framework_deadline,U.S. AI framework deadline and policy push,event,horizon,by end of August,,2026-07-30,2026-08-31,0.6,164.0,98.4,25.667,27.333,3,"regulatory_pressure, investor_sentiment_vol, finance_concentration",Headlines: 'Sam Altman to meet with White House's Wiles this week ahead of AI framework deadline'; 'OpenAI's Sam Altman to discuss voluntary AI safety tests.'
meta_blackrock_el_paso_14b,Meta–BlackRock $14B El Paso data‑centre venture,process,horizon,within 12 months,,2026-07-30,2027-06-30,0.8,162.0,129.6,29.167,27.0,4,"capital_flow_ai_infra, compute_deployment_rate, finance_concentration, compute_ownership_conc","Headlines: 'Meta, BlackRock partner on $14 billion El Paso data center'; 'Meta, BlackRock partner on $14 billion El Paso data center venture.'"
epa_data_center_power_guidance,EPA guidance allows data‑center power sidestepping some pollution laws,process,horizon,next 4 months,,2026-07-30,2026-11-30,0.6,139.0,83.4,25.0,27.8,3,"energy_supply_stability, regulatory_pressure, compute_deployment_rate",Headline: 'EPA says power for data centers can sidestep pollution laws.'
brookfield_india_6_5gw,Brookfield sees 6.5 GW AI data‑centre capacity in India,process,horizon,upcoming 12–18 months,,2026-07-30,2027-12-31,0.7,133.0,93.1,30.333,22.167,4,"ai_compute_capacity, compute_deployment_rate, energy_supply_stability, compute_ownership_conc",Headline: 'Brookfield sees 6.5 GW of AI data-centre capacity coming online in India.'
globalfoundries_300m_award,U.S. awards $300M to GlobalFoundries for AI chip links,event,horizon,next 4 months,,2026-07-30,2026-11-30,0.85,86.0,73.1,27.333,28.667,3,"semiconductor_capacity, supply_chain_resilience, capital_flow_ai_infra",Headline: 'US to award GlobalFoundries $300 million to develop faster AI chip links.'
openai_price_cuts,OpenAI cuts model prices — business cost sensitivity,process,horizon,next 2 months,,2026-07-30,2026-09-30,0.8,80.0,64.0,32.0,26.667,3,"capital_flow_ai_infra, investor_sentiment_vol, compute_deployment_rate",Headlines: 'OpenAI cuts prices for two of its GPT-5.6 AI models'; 'OpenAI cuts prices on smaller models as businesses scrutinize AI spend.'
