id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
major_model_breakouts_wave,Wave of model breakouts and hacks,process,horizon,3 months,,2026-09-22,2026-12-22,0.95,290.0,275.5,22.5,24.167,5,"security_incident_rate, model_malfunction_rate, regulatory_pressure, public_trust, media_attention",Headlines: 'Gemini hacked three companies'; 'OpenAI breached by researchers using Anthropic models'; 'Gemini Joins the Hacker Club'.
anthropic_nov_2026_ipo,Anthropic IPO in November 2026,event,horizon,November 2026,,2026-11-01,2026-11-30,0.85,173.0,147.05,27.0,24.714,3,"commercialization_pressu, capital_availability, media_attention",Headlines: 'Anthropic Shifts Planned IPO to November'; 'Anthropic’s IPO Will Happen a Month Later Than Expected'.
california_kill_switch_exec_order,California executive actions on AI (kill switch),process,horizon,Q4 2026,,2026-09-22,2026-12-31,0.8,169.0,135.2,25.571,24.143,4,"regulatory_pressure, legal_liability_risk, commercialization_pressu, media_attention",Headlines: 'Gavin Newsom advances AI ‘kill switch’'; 'California Gov. Newsom issues executive order to rein in AI'.
cheaper_models_rollouts_continue,Continued rollout of cheaper/faster models,process,horizon,3 months,,2026-09-22,2026-12-22,0.95,166.0,157.7,24.667,27.667,3,"deployment_scale, commercialization_pressu, model_capability","Headlines: 'Anthropic, OpenAI roll out cheaper models'; 'Anthropic unveils cheaper, faster Claude Opus 5.5'; 'OpenAI expands GPT-6 lineup with cheaper Sol and Luna models'."
openai_litigation_and_provincial_suits,"Lawsuits against AI firms (BC, Canadian province)",process,horizon,6 months,,2026-09-22,2027-03-22,0.9,151.0,135.9,25.714,21.571,3,"legal_liability_risk, regulatory_pressure, media_attention",Headlines: 'OpenAI sued by Canadian province over role in mass shooting'; 'British Columbia sues OpenAI over Tumbler Ridge school shooting'.
rising_public_distrust_poll_reaction,Rising public distrust and backlash,process,horizon,6 months,,2026-09-22,2027-03-22,0.9,148.0,133.2,24.429,21.143,3,"public_trust, regulatory_pressure, media_attention",Headline: 'Three out of four Americans say AI firms not doing enough to prevent disaster' (Reuters/Ipsos poll).
anthropic_accenture_eval_investment,Anthropic & Accenture $2bn evaluation investment,process,horizon,12 months,,2026-09-22,2027-09-22,0.9,135.0,121.5,26.714,19.286,3,"safety_eval_capacity, safety_investment, media_attention","Headlines: 'Anthropic, Accenture to invest $2 billion in AI model evaluation'; 'Anthropic brings in Accenture for AI safety testing'."
us_federal_ai_force_and_enforcement,US federal 'AI Force' and DOJ oversight push,process,horizon,Q4 2026,,2026-09-22,2026-12-31,0.6,134.0,80.4,25.333,22.333,3,"regulatory_pressure, legal_liability_risk, media_attention",Headlines: 'Trump Announces an ‘AI Force’'; 'Trump says DOJ could rein in AI companies'.
openai_cash_burn_through_2030,OpenAI high cash burn to 2030,process,horizon,through 2030,,2026-09-22,2030-12-31,0.9,134.0,120.6,26.0,19.143,3,"cash_burn_rate, capital_availability, commercialization_pressu",Headline: 'OpenAI expects to burn $280bn by 2030' (FT/Reuters reporting).
global_ai_standards_negotiations,Push for US-led global AI standards,process,horizon,12 months,,2026-09-22,2027-09-22,0.7,101.0,70.7,25.25,25.25,3,"regulatory_pressure, safety_investment, media_attention",Headlines: 'OpenAI calls for US to take lead in global efforts to develop technical standards'; 'OpenAI joins call for US-led global AI standards'.
enterprise_ai_security_market_growth,Growth in AI security and testing services,process,horizon,6 months,,2026-09-22,2027-03-22,0.85,88.0,74.8,24.5,22.0,3,"safety_eval_capacity, security_incident_rate, commercialization_pressu",Headline: 'Palo Alto Networks launches AI-powered security testing service'; 'Top Cyber Stocks Gain as AI Safety Concerns Drive Security Demand'.
softbank_data_center_iposlow,SoftBank data-centre IPO slowdown,process,horizon,Q4 2026,,2026-10-01,2026-12-31,0.7,83.0,58.1,22.5,20.75,3,"capital_availability, compute_capacity, media_attention",Headline: 'SoftBank’s $50bn data centre group slows IPO'; 'listing delay raises stakes'.
embedded_independent_evaluators_rollout,Adoption of embedded independent evaluators,process,horizon,6 months,,2026-09-22,2027-03-22,0.85,77.0,65.45,24.0,19.25,3,"safety_eval_capacity, public_trust, regulatory_pressure",Headlines: 'Anthropic brings in Accenture for AI safety testing'; 'Anthropic selects Accenture as first embedded evaluator'.
