id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
shipping_shortage_car_exports,Ship shortage constrains booming car exports,process,horizon,near term,,2026-08-18,2026-11-30,0.9,155.0,139.5,18.333,17.222,4,"shipping_capacity, logistics_congestion_lev, export_goods_flow, industrial_capacity_util","""There Aren’t Enough Ships to Handle China’s Booming Car Exports"" (2026-08-16/18)"
arctic_cargo_route_opening,Opening of first regular Arctic cargo route,event,date,immediate,2026-08-18,,,0.85,143.0,121.55,18.125,17.875,4,"shipping_capacity, logistics_congestion_lev, export_goods_flow, global_supply_chain_inte","""China Is Opening the First Regular Cargo Route Through the Arctic"" (2026-08-18)"
hengli_accusation_probe,Allegations against Hengli and potential probe,event,horizon,weeks to months,,2026-08-16,2026-10-31,0.6,131.0,78.6,10.714,18.714,3,"sanction_exposure_percep, trade_controls_intensity, refined_petroleum_export","""Hengli accused of funding Iran through sanctioned oil purchases""; ""Refinery bankrolling Tehran"" (2026-08-16/18)"
state_shippers_rerouting,State shippers reroute tankers to avoid chokepoints,process,horizon,3 months,,2026-08-18,2026-11-30,0.9,113.0,101.7,13.714,16.143,4,"shipping_capacity, logistics_congestion_lev, refined_petroleum_export, sanction_exposure_percep","""China's state shippers deploy oil tankers outside Gulf, avoid chokepoints"" (2026-08-18)"
car_export_surge,Surge in Chinese car exports,process,horizon,months,,2026-07-01,2026-12-31,0.9,101.0,90.9,22.833,16.833,3,"export_goods_flow, export_dependence_ratio, industrial_capacity_util",Geely exports cushion weak domestic demand; multiple headlines on booming car exports (2026-08-16/17/18)
private_equity_pullback,Global private equity pauses China deals,process,horizon,months,,2026-08-01,2026-12-31,0.85,83.0,70.55,20.167,13.833,3,"capital_flow_net, fixed_investment_flow, employment_rate","""Not worth the squeeze': global private equity makes zero deals in China"" (2026-08-18)"
fuel_export_easing_post_iranwar,Easing of curbs and rebound in fuel exports,process,horizon,weeks-months,,2026-08-01,2026-10-31,0.8,80.0,64.0,13.4,16.0,2,"refined_petroleum_export, sanction_exposure_percep","""China's fuel exports edge back... as Beijing eases curbs"" (2026-08-18)"
property_investment_slump,Deepening property and investment slump,process,horizon,next 4-6 months,,2026-08-01,2026-12-31,0.9,69.0,62.1,18.167,11.5,3,"fixed_investment_flow, employment_rate, consumption_demand_level","""China investment slump deepens"" and ""new home prices stagnant"" (2026-08-17)"
hongkong_tax_reforms,Hong Kong 'big bang' tax reforms including trading firms,process,horizon,by year end,,2026-08-17,2026-12-31,0.7,42.0,29.4,18.667,14.0,2,"capital_flow_net, export_dependence_ratio","""Hong Kong set to include trading firms in ‘big bang’ tax reforms"" (2026-08-17)"
nokia_site_closures,Nokia to close mainland China sites by year end,event,date,by year end,2026-12-31,,,0.95,37.0,35.15,19.333,12.333,3,"capital_flow_net, fixed_investment_flow, employment_rate","""Nokia to close almost all sites in mainland China by year end"" (2026-08-18)"
grid_curtailment_persistence,Persistent grid limits and clean-power wastage,process,horizon,next 4-6 months,,2026-08-01,2026-12-31,0.9,19.0,17.1,3.2,3.8,2,"renewable_curtailment_ra, renewable_generation_and","""China leads wave of clean power wastage as grids globally hit limits"" (2026-08-17)"
renewable_recycling_rollout,Faster rollout of renewable-energy recycling rules,process,horizon,by Q1 2027,,2026-08-16,2027-03-31,0.75,8.0,6.0,3.5,4.0,2,"renewable_generation_and, renewable_curtailment_ra","""China plans faster rollout of renewable-energy recycling rules"" and rising ESS shipments (2026-08-16/17)"
