id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
earnings_ai_guidance_q3,Q3 earnings season: AI-driven guidance lift,process,horizon,Q3 earnings season,,2026-09-01,2026-10-31,0.95,271.0,257.45,29.889,30.111,4,"ai_capex_rate, ai_revenue_share, compute_capacity, data_center_capacity","Headlines: Dell, HPE, Broadcom, Snowflake lift forecasts and cite AI server/chip/cloud demand."
frontier_model_releases,Major model and enterprise safeguards rollouts,process,horizon,near term,,2026-09-01,2026-12-31,0.9,198.0,178.2,30.0,33.0,3,"ai_rnd_velocity, ai_adoption_rate, cyber_vulnerability",Headlines: 'Anthropic launches Enterprise Frontier Safeguards'; 'Google launches Gemini 3.8 Flash Cyber'.
data_center_expansion_us,National data-centre buildouts consolidate lead,process,horizon,6–12 months,,2026-09-01,2027-06-30,0.85,175.0,148.75,28.571,25.0,3,"data_center_capacity, compute_capacity, ai_energy_demand",Headline: 'National data centre projects are consolidating America’s AI lead.'
national_supercomputer_procure,National AI supercomputer purchases,process,horizon,coming months,,2026-09-01,2026-12-31,0.8,175.0,140.0,30.5,29.167,3,"compute_capacity, data_center_capacity, ai_capex_rate",Headline: 'EU orders AI supercomputer from Bull as demand exceeds capacity'.
ai_chip_supply_deals,AI chip supply contracts and capacity shifts,process,horizon,next 6 months,,2026-09-01,2027-03-31,0.85,142.0,120.7,24.8,28.4,3,"chip_fab_capacity, ai_infra_concentration, compute_capacity",Headlines: 'Soitec locks customers into multi-year deals'; 'Broadcom raises AI chip forecast'.
ai_cybersecurity_surge,Rapid rollout of AI cybersecurity tools,process,horizon,near term,,2026-09-01,2026-12-31,0.9,140.0,126.0,27.4,28.0,3,"cyber_vulnerability, financial_exposure_ai, ai_revenue_share",Headlines: 'AI-driven cyber risk top concern'; 'Nvidia and CrowdStrike Develop New Cybersecurity AI Models'; 'Blackstone Backs Cybersecurity Startup Huskeys'.
g20_ai_policy_outcome,G20 tech meeting AI policy outcome,event,horizon,this week,,2026-09-03,2026-09-10,0.9,131.0,117.9,23.4,26.2,3,"ai_regulatory_stringency, geo_tech_tension, public_trust_ai",Headlines: 'US to urge hands-off AI regulation at G20 tech meeting'; 'China derails consensus after US-hosted G20'.
central_bank_ai_guidance,Central bank/regulator AI financial guidance,process,horizon,near term,,2026-09-01,2026-12-31,0.7,129.0,90.3,28.2,25.8,3,"ai_regulatory_stringency, financial_exposure_ai, cyber_vulnerability",Headlines: 'Bank of England chief warns new AI models threaten global financial stability'; 'G20 Warned Of Growing Threat to Financial Stability Posed By New AI Models'.
trump_xi_summit,U.S.-China leaders meeting in DC,event,horizon,weeks,,2026-09-15,2026-10-15,0.7,104.0,72.8,22.25,26.0,2,"geo_tech_tension, chip_fab_capacity",Headline: 'Trump and Xi are set to meet in DC.'
school_ai_ban_spread,Local AI education bans and policy ripple,process,horizon,within a year,,2026-09-01,2027-09-01,0.5,67.0,33.5,22.333,22.333,2,"public_trust_ai, ai_regulatory_stringency",Headline: 'Mamdani imposes one-year ban on AI for most NYC students.'
