id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
china_tech_and_exit_controls_expand,China expands tech and exit controls,process,horizon,3-6 months,,2026-09-15,2027-03-15,0.9,250.0,225.0,16.533,16.667,6,"tech_export_controls, talent_mobility, tech_transfer_security, legal_extraterritorial, corporate_reallocation, investor_risk_perception","'China's new tech, national security exit rules take effect' and 'China Tightens Exit Restrictions' (9/15)"
corporate_reallocation_back_to_china,Western firms increase China investment,process,horizon,6-12 months,,2026-09-15,2027-09-15,0.7,178.0,124.6,28.778,19.778,4,"corporate_reallocation, cross_border_capital, supply_chain_realignment, investment_divergence",'German firms lift China investment' and 'Companies left China... Now some are heading back' (9/13-9/14)
china_legal_extraterritorial_expansion,China extends legal reach abroad,process,horizon,6-12 months,,2026-09-15,2027-09-15,0.75,140.0,105.0,14.125,17.5,4,"legal_extraterritorial, tech_transfer_security, investor_risk_perception, tech_export_controls",'How China is extending its legal reach abroad to fight US sanctions' (9/13-9/14)
brics_reform_push_global_dfis,BRICS push to reform global development finance,process,horizon,6-15 months,,2026-09-15,2027-12-31,0.6,136.0,81.6,18.286,19.429,4,"alt_financial_integ, geopolitical_alignment, cross_border_capital, payments_linkages",'BRICS finance chiefs urge reform of global development financial institutions' (9/13)
us_china_borrowing_costs_divergence,Continued US–China borrowing-cost divergence,process,horizon,3-6 months,,2026-09-15,2027-03-15,0.65,134.0,87.1,26.571,19.143,3,"financial_divergence, cross_border_capital, investor_risk_perception",'US-China borrowing costs diverge to widest level ever' (9/13-9/14)
us_pressure_on_mexico_china_ai_exports,U.S. pressure on Mexico over Chinese AI hardware,process,horizon,3-6 months,,2026-09-15,2027-03-15,0.6,133.0,79.8,12.429,19.0,4,"legal_extraterritorial, tech_export_controls, tech_transfer_security, geopolitical_alignment",'Exclusive | U.S. Pressures Mexico to Box Out China’s AI Hardware Exports' (9/15)
china_chip_push_led_by_huawei,China accelerates domestic advanced-chip drive,process,horizon,6-15 months,,2026-09-15,2027-12-31,0.8,124.0,99.2,17.429,17.714,4,"industrial_policy, tech_transfer_security, investment_divergence, corporate_reallocation",'Huawei drives China’s push to make advanced chips' (9/13-9/14)
skorea_espionage_law_enforcement,South Korea enforces expanded chip-protection law,process,horizon,3-6 months,,2026-09-15,2027-03-15,0.85,112.0,95.2,15.857,16.0,4,"tech_transfer_security, talent_mobility, tech_export_controls, investor_risk_perception",'South Korea's expanded espionage law takes effect amid push to protect chip technology' (9/13-9/14)
brics_payments_linkage_push,BRICS push to link payments systems,process,horizon,3-12 months,,2026-09-15,2027-09-15,0.8,108.0,86.4,17.857,15.429,4,"payments_linkages, alt_financial_integ, cross_border_capital, investor_risk_perception",'Booming Brics payments systems seek more cross-border links' (9/13)
brics_gulf_mediation_push,BRICS mediation push in the Gulf,process,horizon,3-6 months,,2026-09-15,2027-03-15,0.6,108.0,64.8,15.0,21.6,3,"geopolitical_alignment, regional_security, alt_financial_integ","'BRICS adopts joint declaration, urges 'maximum restraint' in Mideast' and 'Brics push for Gulf peace' (9/13)"
