id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
anthropic_ipo,Anthropic planned IPO,event,horizon,within 12 months,,2026-09-11,2027-09-11,0.75,216.0,162.0,23.4,21.6,5,"investment_into_ai, market_valuation_expect, commercialization_pressu, regulatory_scrutiny, public_trust_in_ai",Headlines: 'Anthropic close to awarding Morgan Stanley and Goldman Sachs top roles in $2tn IPO'; 'Anthropic’s safety-first image takes a hit ahead of its massive IPO.'
ai_slowdown_and_regulatory_push,Industry calls for AI slowdown and ensuing regulatory momentum,process,horizon,months,,2026-09-11,2027-06-30,0.7,199.0,139.3,20.625,24.875,4,"ai_capability_growth, regulatory_scrutiny, commercialization_pressu, public_trust_in_ai","Headlines: 'OpenAI, Anthropic researchers ramp up calls for AI slowdown'; 'US lawmakers call for new AI rules after Anthropic researcher's extinction warning'; 'Altman tells staff OpenAI is open to slowing AI development.'"
misuse_security_inquiries,High-profile misuse cases and security inquiries,process,horizon,weeks–months,,2026-09-11,2027-03-11,0.9,198.0,178.2,19.333,22.0,4,"safety_incident_frequenc, regulatory_scrutiny, public_trust_in_ai, geopolitical_tech_tensio",Headlines: 'Houthis used Anthropic AI to try to build ballistic missiles'; 'Anthropic says it stopped scientists potentially developing bioweapons'; 'Anthropic discloses fourth AI hacking incident.'
china_cloning_trade_tension,Escalation over model cloning and trade responses,process,horizon,by early October,,2026-09-11,2026-10-15,0.8,172.0,137.6,17.125,21.5,4,"geopolitical_tech_tensio, research_transparency, regulatory_scrutiny, supply_chain_conc","Headlines: 'Chinese AI labs secretly used millions of Claude exchanges to train their models'; 'US accuses Chinese AI firms of ""malicious"" copying'; 'EU wants initial Chinese action on trade gap by early October.'"
hbm_price_rise,High-bandwidth memory (HBM) price spike,process,horizon,weeks–months,,2026-09-11,2026-12-31,0.9,169.0,152.1,17.75,21.125,4,"chip_supply_constraint, compute_capacity, supply_chain_conc, investment_into_ai",Headline: 'EXCLUSIVE: China's AI chipmakers raise prices as high-bandwidth memory shortage bites.'
government_model_testing_access,Government and agency model testing and disclosures,process,horizon,weeks–months,,2026-09-11,2027-03-11,0.85,165.0,140.25,17.875,20.625,3,"regulatory_scrutiny, research_transparency, safety_incident_frequenc",Headlines: 'Anthropic Gives EU’s Cybersecurity Agency Access to Mythos 5 AI Model'; 'Anthropic withheld latest AI model from UK testing agency.'
global_data_center_expansion,Rapid data-centre expansion,process,horizon,multi-year,,2026-09-11,2032-12-31,0.95,155.0,147.25,18.778,17.222,4,"compute_capacity, energy_grid_pressure, investment_into_ai, supply_chain_conc","Headlines: 'Microsoft plans 38 gigawatts of data center capacity by 2032'; 'Nvidia enters partnerships to build out more Australian data center capacity'; 'UAE plans $46 billion investment in Germany, with data centers a key focus.'"
congressional_dc_electricity_bill,US House bill on data-centre electricity costs,event,horizon,by end of year,,2026-09-11,2026-12-31,0.7,133.0,93.1,21.333,22.167,4,"regulatory_scrutiny, compute_capacity, energy_grid_pressure, investment_into_ai",Headline: 'US House to take up bill aimed at curbing data center-driven electricity costs.'
openai_chip_design_partnership,AI-assisted chip design and vendor partnerships,process,horizon,months,,2026-09-11,2027-06-30,0.65,122.0,79.3,21.2,24.4,4,"chip_supply_constraint, compute_capacity, ai_capability_growth, investment_into_ai","Headlines: 'OpenAI offers AI for chip design, touts cost advantage'; 'OpenAI says working with Samsung on next-generation chips.'"
security_reeval_data_centers,Security-driven data-centre re-evaluation and siting shifts,process,horizon,months,,2026-09-11,2027-03-11,0.8,102.0,81.6,20.0,20.4,4,"compute_capacity, geopolitical_tech_tensio, investment_into_ai, energy_grid_pressure","Headlines: 'EXCLUSIVE: UAE revises AI data center plan after Iranian attacks'; 'UAE plans $46 billion investment in Germany, with data centers a key focus.'"
