id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
us_chip_restrictions_push,U.S. push to block advanced chips reaching sanctioned Chinese firms,process,horizon,months,,2026-08-11,2026-12-31,0.75,128.0,96.0,15.286,18.286,3,"export_control_stringenc, semiconductor_capacity, tech_capability_gap","Headline: ""Key Republican urges US to stop any advanced chips from reaching sanctioned Chinese firms."""
china_rare_earth_export_controls,Risk of renewed Chinese rare‑earth export controls,process,horizon,months,,2026-08-13,2026-12-31,0.6,126.0,75.6,13.0,18.0,3,"export_control_stringenc, rare_earth_dependence, supply_concentration","Headlines: ""Price of niche rare earth jumps on fears of renewed Chinese export controls""; ""US backs Australian rare earth miner to cut out China."""
sk_hynix_ai_buildout,SK Hynix AI-driven capacity buildout,process,horizon,months–year,,2026-08-01,2027-12-31,0.95,111.0,105.45,17.429,15.857,3,"semiconductor_capacity, capital_flow_volume, tech_capability_gap","Headline: ""An inside look at SK Hynix $720 billion AI-fueled buildout that's taking over South Korea."""
sk_chip_fund_launch,South Korea $3.5B chip fund launch,event,horizon,by quarter,,2026-08-13,2026-10-31,0.9,107.0,96.3,14.714,15.286,4,"subsidy_intensity, semiconductor_capacity, tech_capability_gap, capital_flow_volume","Headline: ""South Korea to launch $3.5 billion chip fund, speed development of semiconductor hubs."""
taiwan_war_games_escalation,Taiwan naval war games and coast guard arming,process,horizon,months,,2026-08-13,2026-12-31,0.9,76.0,68.4,8.667,12.667,3,"naval_activity_frequency, militarization_level, policy_fragmentation","Headlines: ""Taiwan holds naval drill during war games""; ""Taiwan Weaponizes Coast Guard to Prepare for Battle With China."""
ai_driven_cyber_attack_surge,Surge in AI‑driven cyber operations,process,horizon,months,,2026-08-11,2026-12-31,0.9,69.0,62.1,11.0,11.5,3,"cyber_attack_frequency, policy_fragmentation, sentiment_volatility","Headlines: ""China-linked hackers hit Taiwan in unprecedented ‘autonomous’ AI cyber attack""; ""North Korean hacking group builds AI tools."""
china_indonesia_navy_drill,China–Indonesia naval drills east of Taiwan,event,horizon,weeks–months,,2026-08-12,2026-09-30,0.8,67.0,53.6,8.0,11.167,3,"naval_activity_frequency, militarization_level, defense_procurement","Headlines: ""China, Indonesia navies to hold drills in sensitive waters to east of Taiwan""; Taiwan condemned planned drill."
ford_relocates_lincoln_models,Ford shifts some Lincoln production to U.S.,process,horizon,by 2030,,2026-08-12,2030-12-31,0.85,67.0,56.95,18.6,13.4,3,"relocation_rate, trade_flow_volume, capital_flow_volume","Headlines: ""EXCLUSIVE: Automaker Ford to move production of some Lincoln models from China to US""; ""Ford says it's increasing Lincoln production in the U.S. in 2030."""
sk_future_tech_moon2030,South Korea future‑tech push (moon by 2030),process,horizon,through 2030,,2026-08-12,2030-12-31,0.85,58.0,49.3,16.25,14.5,3,"tech_capability_gap, capital_flow_volume, semiconductor_capacity","Headlines: ""South Korea unveils future technology projects, targets moon landing by 2030."""
ice_silk_road_arctic_growth,Expansion of China's 'Ice Silk Road' Arctic shipping,process,horizon,6–12 months,,2026-08-12,2027-06-30,0.8,54.0,43.2,16.0,13.5,3,"route_diversification, supply_concentration, trade_flow_volume","Headline: ""China bypasses shipping chokepoints with ‘Ice Silk Road’ through Arctic""."
