id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
ukraine_offensive_north_donetsk,Continuation/expansion of Ukrainian offensive in north Donetsk,process,horizon,2-6 weeks,,2026-09-18,2026-10-31,0.8,186.0,148.8,19.4,18.6,4,"battlefield_intensity, escalation_dynamics, humanitarian_need_level, civilian_infra_vuln","Headlines: ""Ukraine launches offensive push in north of Donetsk region""; ""Russian strikes injure 18 across Ukraine"""
western_missile_arsenal_acceleration,Acceleration of missile and cheaper munitions production,process,horizon,3-6 months,,2026-09-18,2027-03-31,0.8,134.0,107.2,18.375,16.75,4,"arms_production_rate, weapons_transfer_rate, military_cap_balance, weapon_tech_diffusion","Headlines: ""Ukraine war drives European demand for bigger, cheaper missile arsenals""; ""Lockheed Martin reveals new secret missile, fast tracks production"""
trump_signature_russia_sanctions,Potential Trump signing of Russia sanctions bill,event,horizon,within 2 weeks,,2026-09-18,2026-09-30,0.65,112.0,72.8,12.0,18.667,3,"sanctions_pressure, alliance_cohesion, energy_disruption_risk","Headlines: ""House passes sweeping Russia sanctions bill... sends to Trump""; ""New US sanctions bill...puts India's Modi in a bind"""
air_defense_coalition_expansion,Expansion of anti-ballistic missile/air-defence cooperation,process,horizon,next 6 months,,2026-09-18,2027-03-31,0.7,99.0,69.3,19.6,19.8,3,"alliance_cohesion, deterrence_credibility, military_cap_balance","Headlines: ""Poland joins anti-ballistic missile coalition with Ukraine""; ""Denmark speeds up Ukraine aid package"""
public_us_orbital_weapons_ack_response,International response to US orbital weapons admission,process,horizon,3 months,,2026-09-18,2026-12-31,0.85,91.0,77.35,12.833,15.167,3,"space_weaponization, weapon_tech_diffusion, info_warfare_intensity","Headlines: ""U.S. confirms for first time it has weapons deployed in space""; ""China warns US space weapons could fuel arms race"""
attacks_near_nuclear_infrastructure,Attacks on or near nuclear infrastructure,process,horizon,weeks to months,,2026-09-18,2026-11-30,0.6,89.0,53.4,16.714,12.714,3,"civilian_infra_vuln, escalation_dynamics, humanitarian_need_level","Headline: ""Drone hit cooling tower on Thursday at Russian Kursk nuclear plant, IAEA says"""
patriot_parts_production_ramp,Ramp-up of Patriot interceptor parts production,process,horizon,3-4 months,,2026-09-18,2027-01-31,0.8,86.0,68.8,17.0,17.2,4,"arms_production_rate, weapons_transfer_rate, defense_spending_level, military_cap_balance","Headlines: ""Lockheed Martin gets first batch of Patriot interceptor parts from General Motors""; ""GM to Produce Patriot Missile Parts"""
belarus_prisoner_releases_expected,Expected Belarus prisoner releases,event,horizon,next month,,2026-10-01,2026-10-31,0.6,57.0,34.2,11.667,19.0,2,"sanctions_pressure, alliance_cohesion","Headline: ""EXCLUSIVE: US envoy hopes Belarus will release hundreds more prisoners next month""; and ""Trump's envoy wins release of 25 Belarus prisoners as US drops more sanctions"""
russian_control_of_western_assets_escalation,Continued nationalisation/seizure of Western assets in Russia,process,horizon,months,,2026-09-18,2027-01-31,0.6,54.0,32.4,13.0,13.5,2,"sanctions_pressure, supply_chain_resilience","Headlines: ""Russia Seizes Control of Nestlé’s Local Operations""; ""Russia Seizes Control of Nestlé and Auchan operations"""
starship_orbital_test_2026_09_22,SpaceX Starship orbital test,event,date,2026-09-22,2026-09-22,,,0.75,50.0,37.5,12.667,16.667,2,"space_weaponization, weapon_tech_diffusion","Headline: ""SpaceX targets first Starship orbital test on September 22"""
