id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
refinery_chokepoints_persist,Refinery chokepoints remain primary constraint,process,horizon,near term,,2026-09-22,2027-03-31,0.8,202.0,161.6,26.8,20.2,5,"refinery_throughput_rate, refining_capacity, storage_inventory_level, fuel_price_level, infrastructure_disruptio",Headline: 'Refineries Are Now the Main Chokepoint for Global Energy Supplies.'
tanker_shortage_persist,Persistent tanker shortage and high shipping rates,process,horizon,3–6 months,,2026-09-22,2027-03-31,0.9,182.0,163.8,29.0,18.2,4,"tanker_availability, freight_rate_level, storage_inventory_level, fuel_price_level",Multiple headlines: 'Tanker Shortage Sends Oil-Shipping Rates Soaring' and 'A Shortage of Oil Tankers...'
aramco_oct_halt,Aramco halts October deliveries after pipeline attack,event,horizon,October 2026,,2026-10-01,2026-10-31,0.9,182.0,163.8,33.111,20.222,4,"crude_export_flow, pipeline_transit_rate, freight_rate_level, fuel_price_level",Headline: 'Aramco halts October crude deliveries to some European refiners after pipeline attack.'
us_diesel_export_ban_push,Political push to ban US diesel exports before midterms,event,date,US midterms,2026-11-04,,,0.45,182.0,81.9,26.857,26.0,4,"policy_restriction_level, fuel_price_level, crude_export_flow, refinery_throughput_rate",Headline: 'top Republicans tell Donald Trump to ban US diesel exports ahead of midterms.'
diesel_shortage_into_2027,Diesel shortage extending into 2027,process,horizon,into 2027,,2026-09-22,2027-12-31,0.85,148.0,125.8,34.75,18.5,3,"storage_inventory_level, fuel_price_level, refinery_throughput_rate",Headline: 'Global diesel shortage likely to last into 2027 as storage tanks drain.'
hormuz_shuttle_high_costs,Costly Hormuz shuttles continue,process,horizon,near term,,2026-09-22,2027-03-31,0.9,126.0,113.4,26.833,21.0,5,"freight_rate_level, tanker_availability, crude_export_flow, fuel_price_level, geopolitical_tension_lev","Commentary/headlines: 'Hormuz shuttles keep oil flowing, but at a high cost' and 'Vessels trickle through Strait of Hormuz.'"
aramco_sep_oct_ramp,Aramco boosts Gulf exports in Sep–Oct,process,horizon,Sep–Oct 2026,,2026-09-01,2026-10-31,0.8,117.0,93.6,32.667,19.5,4,"crude_export_flow, freight_rate_level, fuel_price_level, tanker_availability","Headline: 'Aramco to boost Gulf exports to 60 million barrels in September, October, traders say.'"
venezuela_energy_reengagement,Venezuela re-engagement and investment,process,horizon,months,,2026-09-20,2027-06-30,0.7,116.0,81.2,25.333,19.333,3,"crude_production_rate, crude_export_flow, investment_flow_capacity","TotalEnergies deal, Halliburton pacts and Venezuelan delegation seeking debt/energy deals could restore output and investment."
europe_q4_jetfuel_deficit,Europe Q4 jet-fuel supply deficit,process,horizon,Q4 2026,,2026-10-01,2026-12-31,0.7,108.0,75.6,34.667,18.0,3,"refinery_throughput_rate, storage_inventory_level, fuel_price_level",Headline: 'Europe faces Q4 jet fuel supply deficit even as South Korea becomes latest big supplier.'
us_spr_release_pressure,Pressure to act on US Strategic Petroleum Reserve,process,horizon,months,,2026-09-22,2026-12-31,0.4,72.0,28.8,14.667,24.0,2,"policy_restriction_level, strategic_reserve_level",Headline: 'Oil stocks in US strategic petroleum reserve fall to lowest level since 1982.'
chevron_drilling_spree,Chevron drilling spree and capacity investment,process,horizon,multi-year,,2026-09-20,2028-12-31,0.75,60.0,45.0,20.667,20.0,2,"investment_flow_capacity, crude_production_rate",Headline: 'Chevron plans drilling spree as it overhauls oil and gas search.'
