id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
nvidia_q2_earnings_2026_08_26,Nvidia Q2 earnings report (Aug 26),event,date,"Aug 26, 2026",2026-08-26,,,0.95,138.0,131.1,27.667,23.0,3,"investor_sentiment, ai_hardware_capital_flow, cloud_capacity","Headline: ""Nvidia fiscal Q2 2027 earnings outlook: what to watch on August 26"""
marvell_google_chip_deal,Google–Marvell AI chip procurement and stake option,process,horizon,through 2027,,2026-08-20,2027-12-31,0.85,127.0,107.95,23.833,21.167,4,"chip_prod_capacity, ai_hardware_capital_flow, market_concentration, investor_sentiment","Headlines: ""Google strikes $12bn AI chip deal with Marvell""; ""Marvell gives Google option to buy $12.2 billion stake"""
nvidia_china_ship_yearend,Potential Nvidia H200 China shipments by year‑end,process,horizon,by year‑end 2026,,2026-08-22,2026-12-31,0.6,121.0,72.6,16.0,24.2,3,"ai_hardware_capital_flow, trade_controls_ai, ai_hardware_unit_costs","Headline: ""Nvidia to ship AI chip for China by year-end, The Information reports"""
samsung_shareholder_returns,Samsung's ~$80B shareholder return programme,process,horizon,by end of year,,2026-08-21,2026-12-31,0.95,104.0,98.8,18.5,17.333,3,"shareholder_return_flow, ai_hardware_capital_flow, chip_prod_capacity","Headlines: ""Samsung Electronics expects shareholder returns up to $80 billion""; ""Samsung Plans Biggest-Ever Buyback"""
china_humanoid_ipos_and_listings,Chinese humanoid robot listings and IPO activity,process,horizon,next 10 months,,2026-08-20,2027-06-30,0.7,101.0,70.7,27.4,20.2,3,"robotics_deployment_rate, investor_sentiment, market_concentration","Headlines: ""Unitree surges in Shanghai debut""; ""Chery's robot unit eyes IPO, targets overseas market"""
broadcom_ai_debt_raise,Broadcom seeks large AI‑era debt package,process,horizon,next 6–8 months,,2026-08-20,2027-03-31,0.8,99.0,79.2,22.25,24.75,3,"ai_hardware_capital_flow, hardware_financing_costs, market_concentration","Headline: ""Broadcom seeks more than $60 billion in latest AI debt deal, Bloomberg News reports"""
micron_boise_buildout_lab,Micron $10B AI memory lab and Boise buildout,process,horizon,2026–2028,,2026-08-20,2028-12-31,0.9,93.0,83.7,18.286,13.286,3,"memory_prod_capacity, ai_skill_supply, ai_hardware_unit_costs","Headlines: ""Micron unveils $10 billion AI memory research lab in Boise""; ""How Micron's $50 billion Boise buildout is reshaping its hometown"""
brazil_ai_supercomputer_push,Brazil's AI supercomputer procurement drive,process,horizon,through 2027,,2026-08-21,2027-12-31,0.8,91.0,72.8,19.0,22.75,3,"cloud_capacity, ai_compute_demand, trade_controls_ai","Headline: ""Brazil launches AI supercomputer push, splits projects between Chinese, US firms"""
nvidia_cloverleaf_invest,Nvidia–Cloverleaf data‑center infrastructure investment,process,horizon,months,,2026-08-21,2027-06-30,0.8,89.0,71.2,27.75,22.25,3,"cloud_capacity, ai_hardware_capital_flow, investor_sentiment","Headlines: ""Nvidia in Talks to Invest in Data-Center Power Developer Cloverleaf Infrastructure""; ""Nvidia invests in data center developer Cloverleaf Infrastructure"""
memory_costs_spike,Memory and chip price spikes,process,horizon,next 4 months,,2026-08-20,2026-12-31,0.9,85.0,76.5,22.6,17.0,3,"ai_hardware_unit_costs, memory_prod_capacity, ai_hardware_capital_flow","Headlines: ""Samsung hikes chipmaking prices by up to 15%""; ""Nvidia customers face over 15% server price hikes as memory costs soar"""
nvidia_customer_price_hikes,Nvidia and server price hikes hitting customers,process,horizon,weeks–months,,2026-08-22,2026-10-31,0.9,83.0,74.7,22.0,16.6,3,"ai_hardware_unit_costs, hardware_financing_costs, investor_sentiment","Headlines: ""Nvidia customers reportedly warned about AI-related price hikes""; ""Nvidia customers face over 15% server price hikes"""
