id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
ai_public_backlash_wave,Surge in public tech/AI backlash,process,horizon,next 6 months,,2026-09-01,2027-03-31,0.75,135.0,101.25,18.0,19.286,3,"social_backlash, public_trust, regulatory_pressure","Headlines: 'Tech backlash reaches fever pitch', 'How Big Tech Blinded Itself to the Grassroots AI Revolt', 'America can’t win the AI race if the rollout lacks public support'."
anthropic_lambda_cloud_expansion,Anthropic–Lambda cloud expansion,process,horizon,6 months,,2026-09-01,2027-03-31,0.9,135.0,121.5,15.714,19.286,3,"compute_capacity, market_concentration, platform_gatekeeping",Headlines: 'Anthropic signs $35 billion cloud deal with Nvidia-backed Lambda' and related coverage.
ai_cybersecurity_investment_surge,Surge in AI-related cybersecurity investment,process,horizon,6 months,,2026-09-01,2027-03-31,0.85,129.0,109.65,20.833,21.5,3,"investment_flow, r_and_d_intensity, regulatory_pressure","Headlines: 'AI-driven cyber risk is top concern for global financial stability', 'CrowdStrike at Fal.Con Day 1', 'Palo Alto Projects Double-Digit Growth as AI Drives Cybersecurity Spending'."
china_memory_capacity_ramp,China memory-chip capacity ramp,process,horizon,6-18 months,,2026-09-01,2027-12-31,0.8,124.0,99.2,15.0,20.667,3,"compute_capacity, model_capability, market_concentration","Headlines: 'YMTC aims to overtake Samsung', 'CXMT makes breakthrough', 'Soitec locks customers into multi-year deals'."
g20_financial_ai_scrutiny,Rising central bank scrutiny of AI risk,process,horizon,3-4 months,,2026-09-01,2026-12-31,0.7,116.0,81.2,20.333,19.333,3,"financial_stability_risk, regulatory_pressure, investment_flow","Headlines: 'Andrew Bailey warns G20', 'G20 Warned Of Growing Threat to Financial Stability', 'Bank of England chief warns new AI models threaten global financial stability'."
nvidia_revenue_share_pause,Nvidia pauses revenue-sharing with cloud partners,process,horizon,next months,,2026-08-30,2026-12-31,0.8,105.0,84.0,18.0,21.0,3,"platform_gatekeeping, market_concentration, compute_capacity","Headlines: 'Nvidia pauses revenue-sharing deals with AI cloud companies', 'Exclusive | Nvidia Pauses Revenue-Sharing Deals With AI Cloud Companies'."
eu_ai_supercomputer_build,EU orders AI supercomputer deployment,process,horizon,6-10 months,,2026-09-01,2027-06-30,0.85,85.0,72.25,16.4,17.0,2,"compute_capacity, model_diffusion",Headline: 'EU orders AI supercomputer from Bull as demand exceeds capacity'.
student_career_shift_reskilling,Student and workforce reskilling wave,process,horizon,academic year,,2026-09-01,2027-06-30,0.9,73.0,65.7,20.667,12.167,3,"skill_reshaping, talent_mobility, job_displacement_rate","Headlines: 'Students are reconsidering their majors', 'Junior consultants called back to office as AI increases need for human skills', 'Consultants head for an AI showdown'."
brazil_ai_regulation_pre_election,Brazil accelerates AI rules before election,event,horizon,weeks before election,,2026-09-01,2026-10-15,0.8,69.0,55.2,22.0,23.0,1,regulatory_pressure,Headline: 'Brazil races to rein in AI weeks before election'.
g20_tech_meeting_regulatory_push,G20 tech meeting — regulatory debate,event,horizon,by end of September,,2026-09-01,2026-09-30,0.7,46.0,32.2,22.0,23.0,1,regulatory_pressure,Headline: 'US to urge hands-off AI regulation at G20 tech meeting'.
