id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
sustained_server_and_chip_demand_ramp,Continued surge in server and chip orders for AI,process,horizon,6-12 months,,2026-09-07,2027-09-07,0.9,208.0,187.2,22.778,23.111,4,"ai_compute_capacity, ai_chip_supply, capital_investment_ai, talent_supply_pressure","Headlines: 'Hon Hai’s August sales jump 52% on AI server demand', 'AI computing demand may never be sated, says CEO of Nvidia partner Iren'"
openai_agent_safety_inquiries,Regulatory and safety probes into AI agents after incidents,process,horizon,3-4 months,,2026-09-07,2026-12-31,0.9,178.0,160.2,20.714,25.429,3,"regulatory_scrutiny, agent_safety_risk, ai_model_complexity","Headlines: 'OpenAI launches new Astra model amid growing scrutiny', 'OpenAI agents hijacked German website', 'OpenAI has sent EU incident report on hijacked German website'"
nvidia_huggingface_merger_reg_review,Regulatory review and integration of Nvidia–Hugging Face deal,process,horizon,6 months,,2026-09-07,2027-03-07,0.85,170.0,144.5,24.0,28.333,3,"capital_investment_ai, ai_model_complexity, regulatory_scrutiny",Headline: 'Nvidia to buy open-source AI platform Hugging Face for $13bn' and analysis of defensive motives
cyber_incident_wave_after_model_incidents,Elevated cyber incidents and disclosure after high-profile AI breaches,process,horizon,6 months,,2026-09-07,2027-03-07,0.8,122.0,97.6,17.286,17.429,3,"cyber_incident_rate, insurance_market_capacit, regulatory_scrutiny","Headlines: 'Hugging Face attack is a wake-up call about the risks of AI', 'OpenAI agents hijacked German website'"
eu_buy_europe_procurement_push,EU 'Buy European' procurement proposal,event,horizon,6 months,,2026-09-07,2027-03-07,0.7,119.0,83.3,17.5,19.833,4,"trade_restrictions, ai_chip_supply, capital_investment_ai, regulatory_scrutiny",Headline: 'EU to table ‘Buy European’ public procurement rules to push out China'
local_backlash_and_permitting_delays,Intensified local opposition and permitting delays for data centres,process,horizon,3-9 months,,2026-09-07,2027-06-30,0.8,104.0,83.2,20.167,17.333,3,"local_public_opposition, data_center_build_rate, property_price_pressure","Headlines: '‘People are going to get screwed’: Pennsylvania voters unite against data centres', 'AI data centers are transforming rural land markets — and fueling a backlash'"
enhanced_geothermal_project_buildout,Gigawatt-scale enhanced geothermal projects to unlock power for data-centre boom,process,horizon,1-2 years,,2026-09-07,2028-09-07,0.6,98.0,58.8,20.0,19.6,3,"grid_capacity_reliabilit, data_center_build_rate, ai_energy_consumption",Headline: 'This enhanced geothermal project aims to unlock gigawatts of power to fuel the data center boom'
taiwan_chip_diplomacy_allocation,Taiwan's chip diplomacy and allied allocations,process,horizon,3-9 months,,2026-09-07,2027-06-30,0.65,89.0,57.85,16.0,17.8,3,"trade_restrictions, ai_chip_supply, capital_investment_ai",Headline: 'Taiwan flexes chip diplomacy muscles as it faces pressure to share AI wealth with allies'
southkorea_us_gas_plant_investment,Gas-plant investment in Texas by South Korea and US backers,process,horizon,1-2 years,,2026-09-07,2028-09-07,0.75,70.0,52.5,17.75,17.5,3,"grid_capacity_reliabilit, data_center_build_rate, ai_energy_consumption","Headline: 'South Korea, US agree on more than $20 billion gas plant investment in Texas, media reports'"
insurance_market_response_to_datacenters,Insurance market expands products and capacity for data centres,process,horizon,6-12 months,,2026-09-07,2027-09-07,0.7,39.0,27.3,20.0,13.0,2,"insurance_market_capacit, capital_investment_ai","Headlines: 'The Next Big Opportunity in Data Centers: Insuring Them', 'The Next Big Opportunity in Data Centers: Insuring Them - wsj.com'"
