id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
us_strike_escalation_two_weeks,Imminent US strike escalation (2-week plan),process,horizon,2 weeks,,2026-08-01,2026-08-15,0.85,347.0,294.95,17.133,23.133,6,"military_tempo, maritime_security_level, tanker_transit_flow, ship_rerouting_rate, global_oil_price, price_volatility",Headlines: 'Trump Orders Fresh Strikes on Iran' (2026-08-01); 'The U.S. Commander With a Two-Week Plan to Escalate Strikes in Iran' (2026-07-30).
iran_hormuz_interdiction,Iran enforces interdictions in Strait of Hormuz,process,horizon,1-3 months,,2026-08-01,2026-10-01,0.7,343.0,240.1,18.5,21.438,6,"chokepoint_access, tanker_transit_flow, ship_rerouting_rate, maritime_war_premium, global_oil_price, military_tempo",Headlines: 'Iran says it stops ships in Hormuz' (2026-07-31); 'Iran rules out regional management of Hormuz' (2026-07-30).
us_israel_energy_target_bombardment,Planned US/Israel strikes on energy-related targets,event,horizon,3 weeks,,2026-08-01,2026-08-21,0.6,281.0,168.6,19.25,17.562,6,"oil_lng_prod_rate, refinery_throughput, global_oil_price, price_volatility, maritime_security_level, tanker_transit_flow","Headline: 'US, Israel planning to bombard energy-related targets in Iran, CBS reports' (2026-08-01)."
houthis_fees_and_red_sea_attacks,Houthis impose fees and continue Red Sea attacks,process,horizon,1-2 months,,2026-08-01,2026-09-30,0.65,191.0,124.15,19.5,19.1,4,"chokepoint_access, ship_rerouting_rate, maritime_war_premium, tanker_transit_flow",Headlines: 'Houthis attack two Saudi Arabian tankers' (2026-07-30); 'EXCLUSIVE: Yemen's Houthis considering fees for ships sailing through Red Sea' (2026-07-30).
saudi_multinational_coalition_buildout,Saudi-led maritime defence coalition build-out,process,horizon,weeks–months,,2026-07-31,2026-10-31,0.75,184.0,138.0,15.625,23.0,5,"coalition_security_effor, maritime_security_level, chokepoint_access, maritime_war_premium, tanker_transit_flow",Headlines: 'Saudi Arabia unveils plans for multinational maritime defence coalition' (2026-07-30/07-31).
continued_us_inventory_draws,Continued US oil inventory draws,process,horizon,1-3 months,,2026-08-01,2026-09-30,0.8,103.0,82.4,21.625,12.875,4,"global_fossil_stocks, global_oil_price, price_volatility, trading_profit_rate",Headlines: 'US oil inventories fall to ‘precariously low’ level as Iran war disrupts supply' (2026-07-30/07-31).
qatarenergy_lng_reallocations,QatarEnergy buys US LNG cargoes; reroutes flows,process,horizon,weeks,,2026-08-01,2026-09-30,0.9,97.0,87.3,21.2,19.4,3,"tanker_transit_flow, ship_rerouting_rate, price_volatility",Headlines: 'EXCLUSIVE: QatarEnergy buys 33 US LNG cargoes to offset Hormuz disruption' (2026-07-30); 'QatarEnergy-controlled LNG tanker exits Hormuz' (2026-07-30).
pentagon_procurement_spike,Pentagon and allies procurement spike,process,horizon,6 months,,2026-07-30,2027-01-31,0.85,72.0,61.2,6.0,14.4,3,"defense_procure_rate, military_tempo, coalition_security_effor","Headlines: 'Pentagon Commits Over $120 Billion for Patriot Missiles, Submarines' (2026-07-30); 'US strikes $58.6 billion Patriot missile deal' (2026-07-30)."
shadow_fleet_oil_spill_off_oman,Oil spill from shadow-fleet tanker off Oman,process,horizon,2 weeks,,2026-08-01,2026-08-15,0.8,58.0,46.4,20.667,19.333,3,"chokepoint_access, tanker_transit_flow, maritime_war_premium","Headline: 'Oil spill from shadow fleet tanker spreading off Oman, satellite images show' (2026-08-01)."
oil_majors_buybacks_and_capital_shift,Oil majors shift capital to buybacks/trading,process,horizon,quarter,,2026-08-01,2026-10-31,0.75,40.0,30.0,19.667,6.667,3,"corporate_alloc_tilt, trading_profit_rate, oil_lng_prod_rate",Headlines: 'Shell launches $4.2 billion share buyback programme' and 'Shell's profit more than doubles' (2026-07-30/07-31); 'Glencore trading profits double' (2026-07-30).
