id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
oil_price_rally_continues,Sustained oil-price upside,process,horizon,1 month,,2026-09-15,2026-10-15,0.65,247.0,160.55,13.9,24.7,5,"oil_price, inflation_rate, inflation_expectations, long_term_nominal_yields, policy_rate_expectations","Headlines: 'Global bond sell-off reignites as oil jumps to $109', 'Gold Stays Under Pressure as Oil Heightens Inflation Fears'."
global_bond_selloff_continuation,Continuation of global bond selloff,process,horizon,2-4 weeks,,2026-09-15,2026-10-15,0.75,242.0,181.5,29.455,22.0,5,"long_term_nominal_yields, term_premium, market_liquidity, risk_premia, investor_risk_appetite","Headlines: 'Global Bond Selloff Deepens', 'Global bond yields hit 2008 highs', 'Bond Market Turmoil Is a Warning Shot'."
fed_interest_rate_decision_2026_09_16,Fed policy-rate decision,event,date,Fed meeting day,2026-09-16,,,0.95,215.0,204.25,26.0,21.5,5,"policy_rate_expectations, long_term_nominal_yields, term_premium, inflation_expectations, market_liquidity","Headlines: 'Fed's table is set for a rate hike', 'The Fed Is Poised to Raise Interest Rates', 'Fed rate-hike case builds'."
market_pricing_of_future_fed_hikes,Re-pricing of multi-hike Fed path,process,horizon,12 months,,2026-09-15,2027-09-15,0.8,174.0,139.2,27.556,19.333,4,"policy_rate_expectations, long_term_nominal_yields, mortgage_borrowing_rates, investor_risk_appetite","Headlines: 'No one and done: The Fed will hike at least two times', 'Fed rate-hike case builds', 'The Fed Is Poised to Raise Interest Rates'."
us_treasury_buyback_operations_on_watch,US Treasury buyback / market-support actions,process,horizon,weeks,,2026-09-15,2026-10-31,0.6,166.0,99.6,24.571,23.714,4,"sovereign_market_support, long_term_nominal_yields, term_premium, market_liquidity","Headlines: 'Bessent Can Hold Down the Long Bond', 'Bond Market Rejects Bessent’s Buyback', 'Bessent Brings a Pea Shooter to a Trillion'."
uk_gilt_auction_sep2026,UK gilt auction: £4.75bn,event,horizon,next week,,2026-09-16,2026-09-23,0.95,148.0,140.6,28.429,21.143,4,"sovereign_debt_issuance, long_term_nominal_yields, market_liquidity, cross_border_flows",Headline: 'UK to auction £4.75 billion in treasury gilts next week'.
treasury_secretary_bessent_testimony,Treasury Secretary Bessent congressional testimony,event,horizon,this week,,2026-09-16,2026-09-23,0.9,147.0,132.3,26.0,24.5,4,"sovereign_market_support, long_term_nominal_yields, market_liquidity, investor_risk_appetite","Headlines: 'What to watch as Treasury Secretary Scott Bessent testifies', 'Bessent Can Hold Down the Long Bond', 'Bond Market Rejects Bessent’s Buyback'."
hedge_fund_deleveraging_risk,Hedge-fund deleveraging and liquidity stress,process,horizon,2-4 weeks,,2026-09-15,2026-10-15,0.5,135.0,67.5,29.5,22.5,4,"market_liquidity, risk_premia, credit_spreads, cross_border_flows",Headline: 'Hedge Funds Are the Wild Card in the Turbulent Bond Market'.
boj_policy_decision_window,Bank of Japan policy decision / market reaction,event,horizon,this week,,2026-09-16,2026-09-20,0.6,89.0,53.4,31.5,22.25,3,"exchange_rate_levels, cross_border_flows, long_term_nominal_yields","Headlines: 'Yen rally faces moment of truth as BOJ risks disappointing markets', 'Fed and BoJ expect rate hikes'."
vietnam_sovereign_dollar_sale,Possible Vietnam sovereign dollar bond sale,event,horizon,weeks,,2026-09-15,2026-10-31,0.5,83.0,41.5,28.5,20.75,3,"sovereign_debt_issuance, cross_border_flows, long_term_nominal_yields","Headline: 'EXCLUSIVE: Vietnam considering first sovereign dollar bond sale since 2014, sources say'."
