id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
openai_astra_rollout,OpenAI Astra enterprise rollout,process,horizon,weeks–2 months,,2026-09-03,2026-10-31,0.95,263.0,249.85,24.545,23.909,5,"ai_capability_level, ai_deployment_rate, cyber_bio_risk_exposure, model_safety_mitigation, market_exuberance",Headlines: 'OpenAI launches GPT-6 Astra for enterprise' and 'begins rolling out Astra... advanced cyber capabilities... requires stronger guardrails.'
chip_capacity_and_investments,Major chip investments and capacity expansion,process,horizon,6–16 months,,2026-09-03,2027-12-31,0.85,187.0,158.95,23.444,20.778,4,"chip_production_capacity, ai_infra_capacity, supply_chain_resilience, ai_investment_flow",Headlines: 'Nvidia to invest $3.5 billion in chipmaker MediaTek' and MediaTek/Nvidia AI chip deals.
nvidia_hf_acquisition_review,Nvidia acquisition of Hugging Face: review/integration,process,horizon,6 months,,2026-09-03,2027-03-31,0.75,184.0,138.0,21.667,20.444,5,"ai_investment_flow, ai_infra_capacity, model_safety_mitigation, regulatory_strength, market_exuberance",Headlines: 'Nvidia to buy Hugging Face for $13 billion' and coverage of deal timing/integration implications.
national_data_center_buildouts,Accelerated national data‑centre projects,process,horizon,up to 12 months,,2026-09-03,2027-09-03,0.9,172.0,154.8,22.556,19.111,4,"ai_infra_capacity, data_center_energy, chip_production_capacity, supply_chain_resilience","Headlines: 'National data centre projects consolidating America’s AI lead' and big cloud deals (Anthropic $35bn, ByteDance loan)."
regional_defense_spending_surge,Regional defence spending and security ties rise,process,horizon,next 12 months,,2026-09-03,2027-09-03,0.85,164.0,139.4,18.571,23.429,3,"defense_spending_level, geopolitical_tension, ai_investment_flow","Headlines: 'Taiwan proposes extra $4.6 billion in defence spending', 'Japan targets record defense spend', 'Australia, US to boost defence ties.'"
financial_regulators_ai_action,Financial regulators coordinate AI/cyber stress tests,process,horizon,3–6 months,,2026-09-03,2027-02-28,0.7,129.0,90.3,20.667,21.5,4,"regulatory_strength, financial_stability, model_safety_mitigation, cyber_bio_risk_exposure",Headlines: 'Bank of England chief warns... threat to global financial stability' and 'G20 warned of growing threat... AI-driven cyber risk top concern.'
hugging_face_attack_security_push,Security hardening after Hugging Face attack,process,horizon,next 3 months,,2026-09-03,2026-12-03,0.85,124.0,105.4,23.167,20.667,3,"model_safety_mitigation, cyber_bio_risk_exposure, ai_deployment_rate",Headline: 'Hugging Face attack is a wake-up call about the risks of AI' — prompts security responses.
holiday_retail_agent_push,Retail AI agent adoption for holiday season,process,horizon,holiday season,,2026-11-01,2026-12-31,0.9,112.0,100.8,26.0,22.4,3,"ai_deployment_rate, ai_investment_flow, market_exuberance",Headlines: 'Anthropic launches AI agent blueprints for retailers ahead of holiday shopping season.'
education_and_skills_shift,Labour and education adaptation to AI,process,horizon,12 months,,2026-09-03,2027-09-03,0.8,104.0,83.2,17.8,20.8,3,"labor_skill_gap, education_adapt_rate, regulatory_strength","Headlines: 'Students are reconsidering majors', 'Mamdani imposes one-year ban on AI for most NYC students.'"
g20_pro_ai_policy_push,G20 tech/finance push for pro‑AI stance,event,horizon,next 2 months,,2026-09-03,2026-10-31,0.8,99.0,79.2,18.5,24.75,3,"regulatory_strength, geopolitical_tension, market_exuberance","Headlines: 'US urges hands-off AI regulation at G20' and 'Tech CEOs, Trump Administration ask G-20 to adopt pro-AI policies' with China derailing consensus."
rtx_spark_pc_launch_oct,RTX Spark AI PCs planned October launch,event,horizon,October launch,,2026-10-01,2026-10-31,0.9,85.0,76.5,26.25,21.25,3,"ai_deployment_rate, ai_infra_capacity, market_exuberance",Headline: 'Nvidia sets October launch for RTX Spark AI PCs' — consumer/edge AI expansion expected.
