id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
drc_concentrates_export_ban,DRC bans copper and cobalt concentrates exports,process,horizon,months,,2026-08-08,2026-12-31,0.95,262.0,248.9,25.8,26.2,4,"export_ban_prevalence, trade_flow_goods, critical_minerals_supply, prices_critical_inputs","Driven by: ""EXCLUSIVE: Congo bans copper and cobalt concentrates exports, official order says"" (Reuters)."
us_export_bans_metal_waste,"US export bans on tungsten, metal waste and used critical minerals",process,horizon,months,,2026-08-07,2026-12-31,0.9,248.0,223.2,20.0,27.556,4,"export_control_intensity, export_ban_prevalence, trade_flow_goods, supply_chain_resilience","Driven by: ""US bans exports of various used critical minerals""; ""Trump admin blocks tungsten, battery waste exports to boost US minerals supply""."
us_minerals_subsidy_package,US $2–3B minerals and battery subsidy package,process,horizon,months,,2026-08-08,2026-12-31,0.9,203.0,182.7,22.333,22.556,5,"subsidy_finance_level, investment_capital_avail, onshore_mfg_capacity, corporate_capex_rate, supply_chain_resilience","Driven by: ""Trump Administration to Award $2 Billion to Battery, Materials Companies""; ""Trump administration to invest $3 billion into minerals projects""."
india_polysilicon_incentives,India polysilicon incentives rollout,process,horizon,months–year,,2026-08-07,2027-12-31,0.8,180.0,144.0,25.625,22.5,5,"subsidy_finance_level, onshore_mfg_capacity, supply_diversity_index, trade_flow_goods, prices_critical_inputs","Driven by: ""India plans polysilicon incentives to reduce reliance on China"" (headline)."
us_polysilicon_tariff_15pct,US 15% polysilicon tariff implementation,event,horizon,weeks–months,,2026-08-07,2026-10-31,0.9,178.0,160.2,20.75,22.25,4,"tariff_rate_level, prices_critical_inputs, trade_flow_goods, supply_diversity_index","Driven by: ""Trump to Impose 15% Tariff, Set Minimum Prices on Solar Panels and Components""; ""Trump unveils trade actions to protect key solar and semiconductor material""."
skhynix_38bn_investment,SK Hynix $38bn memory plant expansion,process,horizon,multi-year,,2026-08-07,2029-12-31,0.9,167.0,150.3,27.75,20.875,4,"onshore_mfg_capacity, corporate_capex_rate, supply_chain_resilience, investment_capital_avail","Driven by: ""SK Hynix to invest $38 billion building new memory chip plants""; board approves $38 bln investments headlines."
xi_us_truce_visit,Xi visit and truce-testing diplomacy,event,horizon,weeks,,2026-08-07,2026-09-30,0.75,151.0,113.25,25.5,25.167,4,"export_control_intensity, trade_flow_goods, technology_transfer_rate, supply_chain_resilience","Driven by: ""Beijing flips the script on the U.S. tech war — and tests the truce weeks before Xi's visit""."
drc_cobalt_contamination_probe,DRC probe into uranium-contaminated cobalt exports,process,horizon,weeks–months,,2026-08-07,2026-11-30,0.65,135.0,87.75,23.6,27.0,4,"export_control_intensity, critical_minerals_supply, prices_critical_inputs, export_ban_prevalence","Driven by: ""DR Congo launches probe into uranium-contaminated cobalt exports"" suggesting regulatory/market responses."
apple_testing_china_memory,Apple testing Chinese CXMT memory chips,process,horizon,weeks–quarter,,2026-08-09,2026-11-30,0.7,115.0,80.5,28.0,23.0,3,"trade_flow_goods, technology_transfer_rate, supply_diversity_index","Driven by: ""Apple tests China's CXMT memory chips for iPhones and MacBooks""; ""Apple Tests Chinese Memory Chips as Supply Squeeze Bites""."
trump_host_mining_ceos,US administration to host mining CEOs,event,horizon,weeks,,2026-08-07,2026-09-30,0.7,90.0,63.0,22.75,22.5,4,"subsidy_finance_level, investment_capital_avail, corporate_capex_rate, supply_chain_resilience","Driven by: ""Trump to host mining CEOs as administration seeks minerals for defense supply chains"" (headline)."
