id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
further_houthi_strikes_escalation,Escalating Houthi-Saudi strikes,process,horizon,weeks–months,,2026-09-18,2026-10-31,0.65,284.0,184.6,13.941,16.706,7,"conflict_intensity, chokepoint_transit_cap, tanker_utilization_rate, oil_price_volatility, oil_price_level, displacement_flow_rate, munitions_inventory",Headlines: 'Saudis and Houthis exchange strikes'; 'Three pumping stations along Saudi East‑West Pipeline were hit'; 'Houthi blitz leaves Saudi Arabia exposed'.
un_general_assembly_diplomacy,World leaders convene at UNGA,event,horizon,next week,,2026-09-21,2026-09-30,0.95,143.0,135.85,15.667,23.833,3,"diplomatic_activity, conflict_intensity, financial_risk_premium",Headlines: 'Why are world leaders at the UN next week'; 'US to allow Iranian leaders to attend UN General Assembly'.
saudi_pipeline_repairs_restore,Saudi East‑West pipeline partly restored,event,horizon,within days,,2026-09-18,2026-09-24,0.7,128.0,89.6,17.5,12.8,5,"pipeline_operational_cap, oil_supply_level, oil_price_level, oil_price_volatility, tanker_utilization_rate",Headlines: 'US energy chief says Saudi Arabia oil pipeline should be back online within days'; 'Saudi cancels some oil cargoes after pipeline hit'.
interceptor_and_munitions_depletion,Interceptor and munitions depletion,process,horizon,months,,2026-09-18,2026-12-31,0.8,116.0,92.8,12.167,19.333,3,"munitions_inventory, conflict_intensity, financial_risk_premium",Headlines: 'The U.S. Is Burning Through Its Supply of Interceptors'; 'Trump’s Iran war has caused munitions “shortfall”'.
aramco_export_boost_sep_oct,Aramco boosts Gulf exports Sept–Oct,process,horizon,Sept–Oct,,2026-09-01,2026-10-31,0.78,95.0,74.1,19.625,11.875,4,"oil_supply_level, oil_price_level, tanker_utilization_rate, chokepoint_transit_cap","Headlines: 'Aramco to boost Gulf exports to 60 million barrels in September, October'; 'Saudi offers more crude via Oman loading after pipeline attacks'."
us_arms_sale_to_saudi,U.S. clears fighter jet sale to Saudi Arabia,event,horizon,weeks,,2026-09-18,2026-10-31,0.8,80.0,64.0,9.2,16.0,3,"munitions_inventory, conflict_intensity, diplomatic_activity",Headlines: 'US clears way for $24.3 billion fighter jet sale to Saudi Arabia'; 'US to allow Iranian leaders to attend UN General Assembly' (diplomatic context).
yemen_displacement_wave,Yemen offensive drives displacement,process,horizon,weeks,,2026-09-18,2026-11-30,0.85,63.0,53.55,10.0,12.6,3,"displacement_flow_rate, diplomatic_activity, fiscal_pressure_level","Headlines: 'Yemen conflict displaces 112,000 people'; 'Barefoot and terrified, Yemenis flee the Houthi advance'."
prolonged_aws_gulf_outages,Ongoing AWS outages in Gulf data zones,process,horizon,3 months+,,2026-09-18,2026-12-18,0.9,35.0,31.5,8.5,8.75,2,"cloud_service_avail, financial_risk_premium","Headlines: 'AWS says it can't restore service to Bahrain, UAE facilities 6 months after Iran strikes'; 'AWS says it can't restore some data'."
supertanker_orders_wave,Surge in supertanker orders,process,horizon,months,,2026-09-17,2027-06-30,0.6,31.0,18.6,16.0,10.333,2,"tanker_utilization_rate, oil_price_volatility",Headline: 'US-Iran conflict helps drive wave of supertanker orders'.
iran_land_route_bypass,Iran activates land trade routes,process,horizon,near term,,2026-09-18,2026-10-31,0.7,30.0,21.0,19.0,10.0,3,"tanker_utilization_rate, oil_price_volatility, oil_supply_level",Headlines: 'Iran activates land routes to bypass US blockade'; 'Iran Struggles to Shift Trade to Land'.
