id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
new_us_sanctions_and_tariff_measures,Implementation of new US sanctions and tariff measures,process,horizon,weeks–months,,2026-09-19,2026-12-31,0.85,120.0,102.0,15.889,13.333,4,"sanctions_severity, trade_disruption_level, legal_countermeasure_rat, corporate_exposure",Trump signs Russia sanctions bill into law; bill gives sweeping new tariff powers.
attacks_on_nuclear_energy_sites,Attacks targeting nuclear and energy infrastructure,process,horizon,weeks,,2026-09-19,2026-10-31,0.6,86.0,51.6,11.875,10.75,3,"infrastructure_risk, energy_vulnerability, kinetic_strike_intensity",Drone hit cooling tower at Kursk nuclear plant; drones hit oil refinery in Moscow region.
russia_asset_seizures_expand,Expansion of Russian asset seizures,process,horizon,weeks–months,,2026-09-19,2026-12-31,0.85,81.0,68.85,12.714,11.571,3,"asset_seizure_rate, corporate_exposure, legal_countermeasure_rat",Russia seizes Nestlé and Auchan operations; Putin targets Nestlé's Russian business.
intensified_russian_ballistic_campaign,Intensified Russian ballistic/long-range strikes,process,horizon,weeks–months,,2026-09-20,2026-11-30,0.75,78.0,58.5,8.429,11.143,3,"kinetic_strike_intensity, infrastructure_risk, air_defense_capability",Russia adapts training missile for ballistic onslaught; new air campaign seeks to destroy Ukrainian economy.
ukrainian_moscow_drone_campaign,Continued large-scale Ukrainian drone strikes on Russian targets,process,horizon,weeks,,2026-09-20,2026-10-31,0.6,53.0,31.8,5.75,13.25,3,"kinetic_strike_intensity, hybrid_attack_intensity, alliance_cohesion",Ukraine hits Moscow with ‘largest ever’ drone attack; exchanges of major drone attacks reported.
delivery_us_air_defense_upgrades,Delivery and deployment of US air-defence upgrades to Ukraine,process,horizon,weeks–months,,2026-09-19,2026-12-31,0.8,51.0,40.8,7.714,7.286,3,"military_aid_flow, air_defense_capability, alliance_cohesion",U.S. approves and clears way for $2.7 billion air-defense sale to Ukraine.
european_far_right_political_shift,Far-right gains and Kremlin outreach affecting Western unity,process,horizon,weeks–months,,2026-09-20,2026-12-31,0.65,42.0,27.3,13.5,10.5,2,"alliance_cohesion, political_polarization",AfD surge in German states; Putin envoy prepares talks with AfD to restore gas ties.
western_arms_production_ramp,Western industrial ramp-up for air-defence and missile parts,process,horizon,months,,2026-09-19,2027-03-31,0.7,38.0,26.6,10.2,7.6,3,"arms_production_capacity, military_aid_flow, trade_disruption_level",GM to produce Patriot missile parts; calls to hurry to catch up with Ukraine on AI combat.
dprk_russia_production_and_munitions_support,Increased DPRK–Russia military-industrial cooperation,process,horizon,months,,2026-09-19,2027-03-31,0.5,38.0,19.0,6.25,9.5,3,"arms_production_capacity, kinetic_strike_intensity, hybrid_attack_intensity",North Korea sends women to Russian factories in line of Ukrainian fire; fires ballistic missile offshore.
poland_anti_ballistic_coalition_ops,Poland-Ukraine anti-ballistic coalition operations,process,horizon,weeks,,2026-09-19,2026-11-30,0.7,30.0,21.0,10.0,7.5,2,"air_defense_capability, alliance_cohesion","Poland joins anti-ballistic missile coalition with Ukraine, signalling joint air-defence measures."
luxembourg_anti_drone_deployment,EU expansion of counter-drone detection and defenses,process,horizon,weeks,,2026-09-20,2026-11-30,0.7,24.0,16.8,11.0,8.0,3,"air_defense_capability, infrastructure_risk, legal_countermeasure_rat",Luxembourg launches investigation after drones suspend flights; deploys additional detection assets.
