id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
dprk_missile_test_spate,Renewed North Korea missile launches,process,horizon,next 2–10 weeks,,2026-08-23,2026-10-31,0.85,233.0,198.05,20.222,25.889,4,"military_activity, geopolitical_tension, alliance_cohesion, market_volatility",Headlines: 'North Korea launches 10 ballistic missiles as US-South Korea drills near end' and 'North Korea launches missile barrage...'.
chinese_research_ships_near_taiwan,Chinese research/gray‑zone naval activity near Taiwan,process,horizon,next 3 months,,2026-08-23,2026-11-30,0.8,220.0,176.0,19.375,27.5,4,"military_activity, geopolitical_tension, alliance_cohesion, supply_chain_disruption","Headline: 'Taiwan warns off, shadows Chinese research ship sailing to its west'."
us_tariff_enforcement_drive,Expanded US tariff and enforcement campaign,process,horizon,through year end,,2026-08-23,2026-12-31,0.75,183.0,137.25,19.778,20.333,4,"trade_barrier_intensity, crossborder_capital_flow, economic_integration, regulatory_enforcement",Headline: 'US accuses more than 40 countries of helping China avoid Donald Trump’s tariffs'.
taiwan_2027_defence_boost,Taiwan 2027 defence spending increase,process,horizon,through 2027,,2026-08-23,2027-12-31,0.9,177.0,159.3,17.0,22.125,4,"defense_spending_trend, military_activity, geopolitical_tension, alliance_cohesion",Headlines: 'Taiwan proposes boosting 2027 defence spending 18%' and 'Taiwan Floats Record Defense Budget'.
xi_trump_summit,Planned Xi–Trump meeting,event,horizon,by end of Sep,,2026-08-23,2026-09-30,0.8,166.0,132.8,21.5,27.667,5,"geopolitical_tension, military_activity, alliance_cohesion, trade_barrier_intensity, tech_competition",Headline: 'US Navy aircraft transits Taiwan Strait before planned Xi-Trump meeting'.
semiconductor_supply_chain_shift,South Korea/Japan chip supply‑chain moves,process,horizon,through 2027,,2026-08-23,2027-12-31,0.7,127.0,88.9,19.0,21.167,4,"supply_chain_disruption, tech_competition, crossborder_capital_flow, economic_integration",Headlines: 'South Korea plans chip windfall fund' and 'SK Hynix considers building memory chip plant in Japan'.
ymtc_shanghai_ipo,YMTC parent Shanghai IPO,event,horizon,by year end,,2026-08-23,2026-12-31,0.6,124.0,74.4,21.667,20.667,4,"tech_competition, crossborder_capital_flow, market_volatility, economic_integration",Headline: 'Chinese flash‑memory chipmaker YMTC parent targets $4.9 billion in Shanghai IPO'.
china_tax_crackdown_offshore,China tax crackdown on wealthy/offshore trusts,process,horizon,next 6–7 months,,2026-08-23,2027-03-31,0.8,121.0,96.8,19.625,15.125,4,"crossborder_capital_flow, crossborder_legal_risk, regulatory_enforcement, market_volatility",Headline: 'China tax crackdown forces wealthy investors to assess their offshore trusts'.
expanded_fdi_and_probes,Heightened FDI screening and probes,process,horizon,next 4 months,,2026-08-23,2026-12-31,0.75,91.0,68.25,19.0,18.2,3,"trade_barrier_intensity, crossborder_legal_risk, economic_integration",Headline: 'China hits out at EU probe into JD.com bid for German retailer'.
china_fiscal_stimulus_push,China timely fiscal support to bolster growth,process,horizon,next 4 months,,2026-08-23,2026-12-31,0.7,80.0,56.0,20.2,16.0,4,"corp_financial_stress, market_volatility, crossborder_capital_flow, economic_integration",Headline: 'China pledges timely fiscal support to bolster growth'.
