id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
anthropic_blockbuster_ipo,Anthropic blockbuster IPO,event,horizon,by end of year,,2026-08-16,2026-12-31,0.75,243.0,182.25,21.75,20.25,5,"capital_inflow_rate, asset_valuations_level, market_liquidity_flow, investor_sentiment_index, investor_leverage_ratio",Headlines: 'Anthropic CFO Krishna Rao is leading early IPO meetings...' ; 'Anthropic investors bet on $2tn valuation' ; 'Anthropic Tries to Shore Up Investor Confidence Ahead of Blockbuster IPO'.
hyperscaler_borrowing_binge,Hyperscalers' borrowing binge continues,process,horizon,3-6 months,,2026-08-16,2027-02-16,0.85,214.0,181.9,18.364,19.455,5,"investor_leverage_ratio, infra_invest_rate, capital_inflow_rate, market_liquidity_flow, regulatory_scrutiny_leve",Headlines: 'Hyperscaler AI borrowing binge shakes up foreign credit markets' ; 'AI’s infrastructure boom is getting more leveraged — and harder to track'.
large_data_center_orders,Sustained large data‑centre contracts and builds,process,horizon,6 months,,2026-08-16,2027-02-16,0.9,202.0,181.8,18.8,20.2,4,"infra_invest_rate, compute_supply_capacity, supply_chain_stress, capital_inflow_rate","Headlines: 'Larsen and Toubro secures AI data centre order worth up to $1.57 billion' ; 'Lenovo posts 43% jump in Q1 revenue, riding AI infrastructure boom' ; 'Big Manufacturers Find New Demand in Equipping AI Data Centers'."
exotic_financing_backstops,Expansion of exotic AI financing,process,horizon,3-6 months,,2026-08-16,2027-02-16,0.8,186.0,148.8,19.556,20.667,4,"capital_inflow_rate, infra_invest_rate, investor_leverage_ratio, market_liquidity_flow",Headlines: 'Why Wall Street and Nvidia Are Building an Exotic Money Pipeline for the AI Boom' ; 'New AI financing backstops allows compute buyers more control...'.
model_pricing_volatility,AI model pricing volatility and price war,process,horizon,3 months,,2026-08-16,2026-11-16,0.9,154.0,138.6,20.0,19.25,3,"service_price_level, model_competition, investor_sentiment_index",Headlines: 'DeepSeek Lifts AI Model Prices Fourfold' ; 'DeepSeek raises API pricing...' ; 'OpenAI and Anthropic in price war as Chinese AI rivals gain ground'.
rising_cyber_incidents,Surge in AI-related cyber incidents,process,horizon,6 months,,2026-08-16,2027-02-16,0.9,142.0,127.8,15.75,17.75,4,"cyber_incident_rate, regulatory_scrutiny_leve, investor_sentiment_index, market_liquidity_flow",Headlines: 'AI has opened up big holes in cyber security' ; 'Data breach notices have already blown past last year’s total' ; 'AI creates first synthetic viruses'.
inhouse_model_development,Big tech in‑house model builds accelerate,process,horizon,6 months,,2026-08-16,2027-02-16,0.85,135.0,114.75,16.714,19.286,3,"model_competition, compute_demand_intensity, talent_supply_level",Headlines: 'Apple trains its own AI model for China market with Alibaba's support' ; 'ByteDance targets mega AI model nearing Anthropic’s Mythos'.
smic_price_increase,SMIC chip price increases,process,horizon,3 months,,2026-08-16,2026-11-16,0.8,119.0,95.2,18.333,19.833,4,"supply_chain_stress, compute_demand_intensity, compute_supply_capacity, asset_valuations_level",Headline: 'Chinese chipmaker SMIC increases prices on strong AI demand'.
data_center_energy_emissions,Rising data‑centre energy use and emissions,process,horizon,up to 12 months,,2026-08-16,2027-08-16,0.85,84.0,71.4,15.333,14.0,3,"energy_consumption_rate, regulatory_scrutiny_leve, infra_invest_rate","Headlines: 'Big Tech’s data centre boom poised to drive up carbon emissions' ; 'AI’s Biggest Energy Impact Might Be in the Oil Patch, Not the Data Center'."
ftc_epic_probe_and_health_scrutiny,Regulatory probes into health-data AI use,process,horizon,6 months,,2026-08-16,2027-02-16,0.7,77.0,53.9,19.0,19.25,3,"regulatory_scrutiny_leve, investor_sentiment_index, market_liquidity_flow","Headlines: 'EXCLUSIVE: FTC probes health records giant Epic Systems, sources say' ; 'Healthcare Investing Is Now an AI Short in Disguise'."
vantage_datacenters_ipo,Vantage Data Centers IPO/sale exploration,event,horizon,by end of year,,2026-08-16,2026-12-31,0.6,77.0,46.2,21.5,19.25,3,"market_liquidity_flow, asset_valuations_level, infra_invest_rate","Headline: 'EXCLUSIVE: Vantage Data Centers explores IPO at $100 billion valuation or sale, sources say'."
