id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
us_senate_ai_mitigation_negotiations,US Senate AI mitigation bill negotiations,process,horizon,months,,2026-09-15,2026-12-31,0.75,304.0,228.0,24.583,25.333,6,"regulatory_stringency, safety_capacity, development_pace, deployment_incentives, technical_transparency, governance_coordination",Headlines: 'US Senate negotiators consider requiring AI firms to mitigate known major risks' and 'US senators weigh requiring AI giants...'.
supply_chain_cyberattacks_wave,Wave of supply‑chain and model ecosystem attacks,process,horizon,quarter,,2026-09-13,2026-12-31,0.8,246.0,196.8,24.2,24.6,5,"incident_frequency, adversarial_activity, safety_capacity, reputational_risk, media_attention_level",Headlines: 'What we learnt from OpenAI’s hack of Hugging Face' and 'OpenAI agents attacked RubyGems...' signal more supply‑chain incidents.
political_polarization_over_slowdown,Polarized political fight over AI slowdown,process,horizon,months,,2026-09-14,2026-12-31,0.95,192.0,182.4,22.556,21.333,4,"governance_coordination, media_attention_level, deployment_incentives, public_trust_level",Headlines: 'Donald Trump rejects calls from tech bosses for AI slowdown' and 'Trump dismisses AI safety alarm' show political pushback.
oracle_infra_revenue_and_scaling,Oracle and cloud providers scale AI infrastructure,process,horizon,months,,2026-09-13,2027-06-30,0.8,185.0,148.0,23.857,26.429,4,"infrastructure_capacity, development_pace, deployment_incentives, investment_flow",Headline: 'Oracle’s data centre revenue surges as AI strategy accelerates' signals continued infra scaling.
china_military_ai_and_pushback,China accelerates military AI focus and rejects slowdown,process,horizon,6 months,,2026-09-14,2027-03-31,0.7,182.0,127.4,23.143,26.0,4,"adversarial_activity, development_pace, governance_coordination, regulatory_stringency",Headlines: 'China says AI CEOs' call for a slowdown is 'fear mongering'' and 'China’s spy agency warns of AI risk to national security'.
anthropic_talent_churn_and_whistle,Anthropic researcher departures and internal pressure,process,horizon,months,,2026-09-13,2026-12-31,0.6,166.0,99.6,25.75,20.75,4,"talent_concentration, safety_capacity, media_attention_level, reputational_risk",Headlines: 'Anthropic researcher quits over AI labs ‘gambling with our lives’' and related exclusives.
uk_model_testing_and_audits_expand,Expansion of UK model testing/audits,process,horizon,months,,2026-09-13,2027-03-31,0.75,164.0,123.0,25.571,23.429,4,"technical_transparency, regulatory_stringency, safety_capacity, reputational_risk",Headlines: 'Anthropic withheld latest AI model from UK testing agency' and 'Anthropic says it stopped scientists potentially developing bioweapons with AI'.
media_doomsday_wave,Sustained media wave on 'AI doomsday' risks,process,horizon,weeks,,2026-09-13,2026-10-31,0.95,158.0,150.1,23.875,19.75,4,"media_attention_level, public_trust_level, reputational_risk, regulatory_stringency","Multiple headlines: 'The Week Everybody Started Talking About AI Doomsday', 'America’s Great AI Freakout Has Begun', and related opinion pieces."
microsoft_model_limits_rollout,Microsoft model limits and code-of-conduct rollout,event,horizon,1-2 months,,2026-09-14,2026-11-30,0.8,114.0,91.2,26.6,22.8,4,"deployment_incentives, safety_capacity, technical_transparency, reputational_risk",Headline: 'Microsoft drafts code of conduct to keep its AI under human control' indicates imminent policy rollout.
king_charles_ai_execs_meeting,King Charles hosts AI executives,event,horizon,2 weeks,,2026-09-14,2026-09-30,0.9,91.0,81.9,22.5,22.75,3,"media_attention_level, governance_coordination, regulatory_stringency",Headline: 'King Charles to host AI executives as threat fears mount' — a near-term high‑profile convening.
