id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
nvidia_openai_ohio_financing,Nvidia financing & guarantees for Ohio data center,process,horizon,months,,2026-08-17,2026-12-31,0.85,279.0,237.15,23.273,25.364,5,"financing_guarantees, compute_capacity, capital_flow_to_ai, infrastructure_lockin, chip_supply","Headlines: 'Nvidia to provide up to $105 billion guarantee', 'Nvidia to invest $100bn for OpenAI data centre in Ohio'."
anthropic_blockbuster_ipo,Anthropic blockbuster IPO,event,horizon,weeks–months,,2026-08-18,2026-10-31,0.8,246.0,196.8,28.6,24.6,4,"capital_flow_to_ai, secondary_market_flow, valuation_inflation, investor_sentiment","Headlines: 'Anthropic Tries to Shore Up Investor Confidence Ahead of Blockbuster IPO', 'Anthropic investors bet on $2tn valuation'."
expanded_financing_backstops,Expansion of AI financing backstops,process,horizon,weeks–months,,2026-08-16,2026-11-30,0.8,233.0,186.4,24.667,25.889,4,"financing_guarantees, capital_flow_to_ai, compute_capacity, infrastructure_lockin","Headlines: 'New AI financing backstops allows compute buyers more control', 'Nvidia financing initiative follows SEC guidance'."
anthropic_preipo_credit_facility,Anthropic >$10B pre‑IPO credit facility,event,date,imminent,2026-08-18,,,0.9,183.0,164.7,26.286,26.143,3,"financing_guarantees, capital_flow_to_ai, investor_sentiment",Headline: 'Anthropic's pre-IPO credit facility set to exceed $10 billion'.
openai_training_pause,OpenAI slows/pauses frontier model training,process,horizon,weeks–months,,2026-08-18,2026-10-31,0.9,182.0,163.8,24.0,26.0,4,"model_performance, regulatory_scrutiny, media_attention, governance_capacity","Headlines: 'OpenAI slows model training to bolster security', 'OpenAI pauses frontier model training'."
openai_talent_churn,OpenAI leadership & talent churn,process,horizon,weeks–months,,2026-08-16,2026-11-30,0.7,138.0,96.6,24.333,23.0,3,"talent_concentration, investor_sentiment, governance_capacity","Headlines: 'OpenAI's head of ethics leaves', 'OpenAI talent exodus raises ""huge red flag"" ahead of IPO'."
uk_frontier_access_review,UK review of frontier model access,process,horizon,months,,2026-08-18,2026-12-31,0.7,124.0,86.8,24.2,24.8,4,"regulatory_scrutiny, investor_sentiment, governance_capacity, media_attention",Headline: 'UK examines economic hit from loss of access to frontier AI models'.
chatgpt_for_teens_rollout,ChatGPT for Teens rollout,event,date,immediate,2026-08-18,,,0.95,112.0,106.4,21.8,22.4,4,"media_attention, regulatory_scrutiny, data_availability, governance_capacity",Headlines: 'OpenAI unveils ChatGPT for Teens' and 'OpenAI limits teens to dedicated version...'.
repurposing_old_chips,Repurposing older AI chips for new workloads,process,horizon,weeks–months,,2026-08-18,2026-11-30,0.7,103.0,72.1,22.25,25.75,3,"chip_supply, compute_capacity, capital_flow_to_ai","Headlines: 'New Jobs for Old AI Chips', 'Chip stocks...pulling back; Micron, Sandisk climb as investors confident'."
lyntris_ipo_pricing,Lyntris IPO pricing,event,date,immediate,2026-08-18,,,0.8,84.0,67.2,26.75,21.0,3,"secondary_market_flow, investor_sentiment, valuation_inflation",Headline: 'Lyntris said to price IPO in lower half of range'.
