id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
south_korea_chip_fund_rollout,South Korea semiconductor funds and industrial support,process,horizon,6–12 months,,2026-08-01,2027-06-30,0.92,139.0,127.88,19.875,17.375,3,"advanced_tech_capability, investment_capital_flow, supplier_reorientation","Headlines: 'South Korea to launch $3.5 billion chip fund...'; 'South Korea to establish fund for semiconductor materials, parts and equipment'."
china_ai_listings_bonanza,Surge in Chinese AI listings and domestic capital flows,process,horizon,6–12 months,,2026-08-01,2027-06-30,0.88,118.0,103.84,17.75,14.75,4,"investment_capital_flow, advanced_tech_capability, capital_market_accessibi, tech_fragmentation",Headlines: 'The bank behind China’s AI listings bonanza'; 'Moonshot shake-up seeks to win Beijing nod for stock market debut'.
ford_lincoln_reshoring_by_2030,Ford shifts some Lincoln production from China to US (by 2030),process,date,by 2030,2030-12-31,,,0.8,98.0,78.4,19.429,14.0,3,"supplier_reorientation, manufacturing_export_flo, industrial_capacity",Headlines: 'EXCLUSIVE: Automaker Ford to move production of some Lincoln models from China to US'; 'Ford says it's increasing Lincoln production in the U.S. in 2030'.
ice_silk_road_expansion,Expansion of China's 'Ice Silk Road' Arctic shipping,process,horizon,months–year,,2026-08-01,2027-08-01,0.9,92.0,82.8,15.429,13.143,3,"logistics_route_diversit, manufacturing_export_flo, energy_logistics_cost",Headlines: 'China bypasses shipping chokepoints with ‘Ice Silk Road’ through Arctic'; 'China is winning the race for the Ice Silk Road'.
taiwan_annual_war_games,Taiwan annual war games and communications throttling,event,horizon,this month,,2026-08-10,2026-08-31,0.98,88.0,86.24,11.857,12.571,3,"defense_ops_tempo, supply_chain_resilience, geopolitical_tension",Headlines: 'Taiwan simulates repelling Chinese assault... slow mobile internet'; 'Taiwan president oversees coastal strike drill during annual war games'.
us_south_korea_joint_drills,US–South Korea joint military drills,event,horizon,weeks–months,,2026-08-12,2026-09-30,0.95,88.0,83.6,7.571,12.571,3,"defense_ops_tempo, military_presence, geopolitical_tension","Headlines: 'South Korea, US to conduct military drills amid evolving North Korea threats'; 'North Korea fires missile ahead of major US-South Korea drills'."
apple_tests_chinese_memory_supply,Apple testing Chinese CXMT memory chips,process,horizon,months,,2026-08-01,2027-06-30,0.7,85.0,59.5,18.2,17.0,3,"technology_transfer_flow, advanced_tech_capability, supplier_reorientation",Headlines: 'Apple tests China's CXMT memory chips for iPhones and MacBooks'; 'Apple Tests Chinese Memory Chips as Supply Squeeze Bites'.
china_indonesia_naval_drills,Planned China–Indonesia naval drills east of Taiwan,event,horizon,near term,,2026-08-12,2026-09-30,0.85,82.0,69.7,8.0,13.667,3,"defense_ops_tempo, military_presence, geopolitical_tension","Headlines: 'China, Indonesia navies to hold drills in sensitive waters to east of Taiwan'; 'Taiwan hits out at China over planned Chinese navy drill with Indonesia'."
hanwha_austal_deal,Hanwha bid for Austal's US operations,process,horizon,months,,2026-08-01,2027-03-31,0.75,68.0,51.0,19.2,13.6,3,"investment_capital_flow, industrial_capacity, supply_chain_resilience",Headlines: 'Shipbuilder Austal gets $1.2 billion offer for US operations from Hanwha'; 'South Korean group makes US defence push with shipbuilding bid'.
taiwan_2027_defence_spending,Taiwan raises defence spending for 2027,event,date,calendar year 2027,2027-01-01,,,0.9,50.0,45.0,8.4,10.0,3,"defense_ops_tempo, military_presence, investment_capital_flow","Headline: 'Taiwan's 2027 defence spending to rise 16%, official media reports'."
