id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
us_export_controls_advanced_chips_push,Political push to block advanced chips to sanctioned Chinese firms,process,horizon,months,,2026-08-10,2026-12-31,0.75,276.0,207.0,17.7,27.6,4,"export_control_intensity, chip_trade_barriers, security_priority_level, trade_flow_volatility","Headline: ""Key Republican urges US to stop any advanced chips from reaching sanctioned Chinese firms"" (2026-08-10)."
spacex_tesla_terafab_tx,SpaceX/Tesla Terafab chip plant in Texas,process,horizon,1-2.5 years,,2026-08-08,2028-12-31,0.9,270.0,243.0,32.545,24.545,4,"fab_construction_rate, semiconductor_capacity, onshoring_share, ai_compute_demand","Headlines: ""SpaceX, Tesla to initially spend $16.8 billion on Terafab chip plant in Texas"" (2026-08-08)."
nvidia_wallstreet_500bn_finance,Nvidia–Wall Street $500bn AI financing push,process,horizon,6 months,,2026-08-10,2027-02-10,0.9,225.0,202.5,30.0,25.0,4,"private_investment_flow, financing_costs, ai_compute_demand, market_confidence","Headlines: ""Nvidia, Wall Street Firms Strike AI Financing Deal Targeting $500 Billion"" (2026-08-10)."
us_tariffs_solar_chips_rollout,U.S. tariffs and minimum prices on solar and components,process,horizon,weeks–months,,2026-08-08,2026-11-30,0.8,214.0,171.2,19.625,26.75,4,"chip_trade_barriers, export_control_intensity, trade_flow_volatility, supply_diversification","Headlines: ""Trump to Impose 15% Tariff, Set Minimum Prices on Solar Panels and Components"" and ""Trump unveils trade actions to compete with China on solar and chips"" (2026-08-08/09)."
skhynix_38bn_memory_build,SK Hynix $38bn memory-plant expansion,process,horizon,1-3 years,,2026-08-08,2028-12-31,0.95,205.0,194.75,33.625,25.625,3,"fab_construction_rate, semiconductor_capacity, private_investment_flow","Headlines: ""SK Hynix to invest $38 billion building new memory chip plants"" (2026-08-08)."
us_minerals_funding_boost,U.S. mineral financing and pledges,process,horizon,up to 12 months,,2026-08-08,2027-08-08,0.85,202.0,171.7,18.0,25.25,4,"industrial_subsidy_level, critical_minerals_avail, security_priority_level, supply_diversification","Headlines: ""Trump administration to invest $3 billion into minerals projects"" and ""U.S. Pledges $2 Billion for Battery, Materials Producers"" (2026-08-08/10)."
drcongo_cobalt_copper_export_ban,DR Congo ban on copper and cobalt concentrate exports,process,horizon,months,,2026-08-08,2026-12-31,0.9,190.0,171.0,23.375,23.75,3,"critical_minerals_avail, trade_flow_volatility, supply_diversification","Headline: ""EXCLUSIVE: Congo bans copper and cobalt concentrates exports"" (2026-08-08/09)."
nvidia_lancium_datacenter_investment,Nvidia investments in Lancium / datacenter capacity,process,horizon,6 months,,2026-08-08,2027-02-08,0.95,130.0,123.5,32.0,26.0,3,"ai_compute_demand, private_investment_flow, market_confidence","Headlines: ""Nvidia to invest up to $3 billion in Lancium"" and related datacenter investment stories (2026-08-08/09/10)."
sony_tsmc_image_sensor_joint,Sony–TSMC $6.3bn image-sensor joint build,process,horizon,1-2 years,,2026-08-10,2028-06-30,0.85,121.0,102.85,32.6,24.2,3,"semiconductor_capacity, fab_construction_rate, supply_diversification","Headline: ""Sony, TSMC to spend $6.3 billion to jointly make image sensors"" (2026-08-10)."
china_ice_silk_road_shipping_expansion,China's 'Ice Silk Road' Arctic shipping expansion,process,horizon,1+ year,,2026-08-10,2027-12-31,0.7,96.0,67.2,28.5,24.0,2,"supply_diversification, trade_flow_volatility","Headlines: ""China bypasses shipping chokepoints with ‘Ice Silk Road’ through Arctic"" (2026-08-10)."
apple_test_cxmt_memory,Apple testing CXMT memory chips,process,horizon,6 months,,2026-08-09,2027-02-09,0.7,71.0,49.7,24.0,23.667,2,"supply_diversification, chip_trade_barriers","Headline: ""Apple tests memory chips from China’s CXMT to ease AI-driven supply crunch"" (2026-08-09)."
