id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
xi_trump_summit_visit,Xi state visit and summit with Trump,event,horizon,this week,,2026-09-20,2026-09-27,0.95,263.0,249.85,23.222,29.222,4,"regulatory_alignment, geopolitical_risk_perc, cross_border_investment, market_access_barriers",Headlines: 'What will Trump and Xi discuss in Washington next week?'; 'Trump plans to greet Xi at airport' ; executives may join Xi's US visit
us_pressure_mexico_ai,US pressures Mexico to block Chinese AI hardware exports,process,horizon,weeks,,2026-09-20,2026-10-31,0.65,191.0,124.15,21.571,27.286,3,"export_control_level, market_access_barriers, alt_destination_attract",Headline: 'Exclusive | U.S. Pressures Mexico to Box Out China’s AI Hardware Exports'
solidigm_us_nand_factory,Solidigm (SK Hynix) US NAND factory decision,process,horizon,months,,2026-09-20,2027-06-30,0.6,190.0,114.0,31.625,23.75,4,"memory_fab_capacity, chip_fab_capacity, cross_border_investment, alt_destination_attract","Headline: 'SK Hynix's Solidigm unit is weighing NAND memory chip factory in US, sources say'"
us_pharma_licensing_consideration,US considers loosening pharma licensing to China,process,horizon,weeks,,2026-09-20,2026-10-31,0.7,189.0,132.3,25.857,27.0,3,"tech_transfer_rate, cross_border_investment, market_access_barriers","Headline: 'EXCLUSIVE: US weighs allowing most pharma licensing deals with China, sources say'"
china_rare_earth_shenghe_talks,China Rare Earth Group talks to acquire Shenghe stake,process,horizon,months,,2026-09-20,2027-03-31,0.6,188.0,112.8,24.167,31.333,3,"critical_materials_conc, cross_border_investment, geopolitical_risk_perc","Headline: 'EXCLUSIVE China Rare Earth Group in talks to buy MP Materials shareholder Shenghe Resources, sources say'"
bessent_he_jpm_meeting,Bessent–He meeting at JPMorgan HQ,event,date,on Sunday,2026-09-20,,,0.9,162.0,145.8,21.667,27.0,3,"tech_transfer_rate, critical_materials_conc, regulatory_alignment","Headline: 'US Treasury's Bessent plans to discuss AI and rare earths with China's He, source says'"
japan_us_chip_factory_talks,Japan–US chip factory construction talks,process,horizon,months,,2026-09-20,2027-06-30,0.7,146.0,102.2,29.5,24.333,3,"chip_fab_capacity, cross_border_investment, regulatory_alignment","Headline: 'Japan, US discussing chip factory construction as part of $550 billion investment talks, Nikkei reports'"
nvidia_chip_sales_projection,Nvidia projects doubling chip sales next year,process,horizon,calendar 2027,,2027-01-01,2027-12-31,0.9,138.0,124.2,26.0,27.6,2,"ai_hardware_demand_rate, chip_fab_capacity",Headline: 'Jensen Huang says Nvidia will sell twice as many chips next year'
auto_industry_urging_china_ban,Auto industry lobbying to block Chinese cars,process,horizon,weeks,,2026-09-20,2026-10-15,0.6,135.0,81.0,22.6,27.0,3,"market_access_barriers, lobbying_pressure, geopolitical_risk_perc",Headlines: 'Auto industry urges Trump to bar Chinese automakers in U.S. ahead of Xi visit'; 'Automakers Urge Trump Not to Allow Chinese Cars Into U.S.'
applied_materials_india_5bn,Applied Materials $5bn India investment,event,horizon,months,,2026-09-20,2027-06-30,0.85,121.0,102.85,30.8,24.2,3,"alt_destination_attract, cross_border_investment, chip_fab_capacity",Headline: 'Applied Materials to invest $5 billion in India as Modi's flagship chip event kicks off'
cxmt_flash_memory_expansion,CXMT flash-memory expansion plans,process,horizon,months,,2026-09-20,2027-12-31,0.8,119.0,95.2,32.8,23.8,2,"memory_fab_capacity, supply_chain_diversity",Headlines: 'EXCLUSIVE: China's CXMT eyes flash-memory push amid global shortage'; 'CXMT plans flash memory chip expansion amid global shortage'
