node,parent_core,label,local_AS,local_PS,local_role,AS_ext,PS_ext,global_AS,global_PS,bridge_score,n_bridged_cores,global_role
russia_ukraine_conflict::energy_supply_disruption,russia_ukraine_conflict,Energy supply disruption level,15.0,15.0,critical (risk),11.7,5.0,13.68,11.0,26.877613137649472,4,active (lever)
global_rate_shock::market_liquidity,global_rate_shock,Market liquidity,25.0,27.0,critical (risk),6.5,6.85,17.6,18.939999999999998,21.48599613099524,4,critical (risk)
gulf_energy_flashpoint::global_oil_price_level,gulf_energy_flashpoint,Global oil price level,14.0,31.0,reactive (sensor),7.05,6.15,11.22,21.06,18.299085566782555,3,reactive (sensor)
global_rate_shock::policy_rate_expectations,global_rate_shock,Monetary policy rate expectations,24.0,20.0,active (lever),8.4,2.25,17.759999999999998,12.9,17.14051376742317,4,critical (risk)
gulf_energy_flashpoint::supply_risk_perception,gulf_energy_flashpoint,Market supply risk perception,24.0,30.0,critical (risk),3.7,6.75,15.879999999999999,20.7,16.818626184936345,4,critical (risk)
ai_safety_race::deployment_rate,ai_safety_race,Deployment rate into economy,27.0,25.0,critical (risk),3.5999999999999996,6.45,17.64,17.58,16.17485101996271,4,critical (risk)
global_rate_shock::long_term_nominal_yields,global_rate_shock,Long-term nominal government bond yields,20.0,36.0,reactive (sensor),3.8999999999999995,6.050000000000001,13.56,24.02,16.013907228719297,4,critical (risk)
brics_alignment_growth::cross_border_capital,brics_alignment_growth,Cross-border capital flows,22.0,29.0,critical (risk),4.65,4.800000000000001,15.059999999999999,19.32,15.20918827250225,4,critical (risk)
brics_alignment_growth::geopolitical_alignment,brics_alignment_growth,Geopolitical alignment,27.0,23.0,critical (risk),5.9,3.45,18.56,15.18,15.04824448125884,4,critical (risk)
gulf_energy_flashpoint::shipping_route_security,gulf_energy_flashpoint,Shipping route security,32.0,6.0,active (lever),6.05,3.25,21.619999999999997,4.8999999999999995,14.967772585637134,4,active (lever)
ai_safety_race::frontier_dev_speed,ai_safety_race,Frontier development speed,30.0,22.0,active (lever),1.2,7.8,18.48,16.32,14.484941211906902,4,critical (risk)
brics_alignment_growth::corporate_reallocation,brics_alignment_growth,Corporate reallocation rate,18.0,31.0,critical (risk),3.0,5.8,12.0,20.919999999999998,14.163053629420084,4,critical (risk)
brics_alignment_growth::supply_chain_realignment,brics_alignment_growth,Supply chain realignment,19.0,26.0,critical (risk),2.6,5.9,12.440000000000001,17.96,13.680222255689852,4,critical (risk)
russia_ukraine_conflict::military_readiness,russia_ukraine_conflict,Military response readiness,13.0,17.0,critical (risk),3.7,5.8,9.28,12.52,13.16979643063896,3,reactive (sensor)
ai_safety_race::regulatory_pressure,ai_safety_race,Regulatory and oversight pressure,26.0,24.0,critical (risk),3.1999999999999997,4.7,16.88,16.279999999999998,10.951725452847136,3,critical (risk)
gulf_energy_flashpoint::geopolitical_tension,gulf_energy_flashpoint,Geopolitical escalation intensity,39.0,9.0,active (lever),6.050000000000001,1.2,25.82,5.879999999999999,10.050634118119207,3,active (lever)
russia_ukraine_conflict::diplomatic_pressure_leve,russia_ukraine_conflict,Diplomatic pressure intensity,13.0,25.0,critical (risk),2.3,3.6000000000000005,8.719999999999999,16.44,9.495683683361193,4,reactive (sensor)
ai_safety_race::safety_incident_freq,ai_safety_race,Safety and security incident frequency,27.0,23.0,critical (risk),5.25,1.2,18.3,14.28,8.941598629223295,3,critical (risk)
global_rate_shock::central_bank_ops,global_rate_shock,Central bank market operations,40.0,22.0,active (lever),3.0999999999999996,2.5999999999999996,25.24,14.239999999999998,7.901877858383375,3,critical (risk)
russia_ukraine_conflict::energy_strike_rate,russia_ukraine_conflict,Energy-target strike rate,27.0,14.0,critical (risk),3.75,1.1,17.7,8.84,6.723527651431469,3,active (lever)
russia_ukraine_conflict::drone_attack_intensity,russia_ukraine_conflict,Unmanned aerial attack intensity,32.0,11.0,active (lever),2.4,2.3,20.16,7.52,5.163477756740115,2,active (lever)
global_rate_shock::sovereign_debt_issuance,global_rate_shock,Sovereign debt issuance rate,20.0,22.0,buffering (inert),0.0,3.5999999999999996,12.0,14.639999999999999,4.990659700031606,3,critical (risk)
brics_alignment_growth::investment_divergence,brics_alignment_growth,Investment flow divergence,21.0,28.0,critical (risk),1.2,3.1500000000000004,13.08,18.060000000000002,4.778963455706278,2,critical (risk)
ai_safety_race::average_model_capability,ai_safety_race,Average model capability,37.0,25.0,critical (risk),1.9500000000000002,1.4,22.98,15.56,3.6803511670381677,2,critical (risk)
gulf_energy_flashpoint::reserve_release_rate,gulf_energy_flashpoint,Strategic reserve release rate,21.0,19.0,active (lever),1.2,1.2,13.08,11.88,1.6635532333438687,1,active (lever)
russia_ukraine_conflict::air_intercept_rate,russia_ukraine_conflict,Air defense interception rate,12.0,14.0,reactive (sensor),0.0,0.0,7.199999999999999,8.4,0.0,0,buffering (inert)
russia_ukraine_conflict::cross_border_inc_rate,russia_ukraine_conflict,Cross-border incident rate,26.0,11.0,active (lever),0.0,0.0,15.6,6.6,0.0,0,active (lever)
russia_ukraine_conflict::truce_proposal_rate,russia_ukraine_conflict,Truce proposal rate,14.0,22.0,critical (risk),0.0,0.0,8.4,13.2,0.0,0,reactive (sensor)
russia_ukraine_conflict::nuclear_safety_risk,russia_ukraine_conflict,Nuclear-site safety risk level,10.0,12.0,buffering (inert),0.0,0.0,6.0,7.199999999999999,0.0,0,buffering (inert)
russia_ukraine_conflict::transport_disruption,russia_ukraine_conflict,Transport network disruption,7.0,9.0,buffering (inert),0.0,0.0,4.2,5.3999999999999995,0.0,0,buffering (inert)
russia_ukraine_conflict::civilian_casualty_rate,russia_ukraine_conflict,Civilian casualty rate,9.0,14.0,reactive (sensor),0.0,0.0,5.3999999999999995,8.4,0.0,0,buffering (inert)
russia_ukraine_conflict::diesel_price_level,russia_ukraine_conflict,Diesel market price level,7.0,12.0,buffering (inert),0.0,0.0,4.2,7.199999999999999,0.0,0,buffering (inert)
russia_ukraine_conflict::public_energy_concern,russia_ukraine_conflict,Public energy security concern level,3.0,20.0,reactive (sensor),0.0,0.0,1.7999999999999998,12.0,0.0,0,reactive (sensor)
russia_ukraine_conflict::drone_capability_level,russia_ukraine_conflict,Unmanned aerial capability level,17.0,2.0,active (lever),0.0,0.0,10.2,1.2,0.0,0,buffering (inert)
russia_ukraine_conflict::intel_sharing_intensity,russia_ukraine_conflict,Surveillance and intelligence sharing intensity,10.0,18.0,reactive (sensor),0.0,0.0,6.0,10.799999999999999,0.0,0,buffering (inert)
russia_ukraine_conflict::allied_cohesion_level,russia_ukraine_conflict,Allied diplomatic cohesion level,12.0,11.0,buffering (inert),0.0,0.0,7.199999999999999,6.6,0.0,0,buffering (inert)
gulf_energy_flashpoint::refined_fuel_premium,gulf_energy_flashpoint,Refined fuel price premium,13.0,24.0,reactive (sensor),0.0,0.0,7.8,14.399999999999999,0.0,0,reactive (sensor)
ai_safety_race::investor_expectations,ai_safety_race,Investor expectations about AI returns,24.0,26.0,critical (risk),0.0,0.0,14.399999999999999,15.6,0.0,0,critical (risk)
gulf_energy_flashpoint::monetary_policy_stance,gulf_energy_flashpoint,Monetary policy stance,4.0,5.0,buffering (inert),0.0,0.0,2.4,3.0,0.0,0,buffering (inert)
gulf_energy_flashpoint::diplomatic_activity,gulf_energy_flashpoint,Diplomatic negotiation activity,22.0,10.0,active (lever),0.0,0.0,13.2,6.0,0.0,0,active (lever)
gulf_energy_flashpoint::market_volatility,gulf_energy_flashpoint,Financial market volatility,10.0,31.0,reactive (sensor),0.0,0.0,6.0,18.599999999999998,0.0,0,reactive (sensor)
gulf_energy_flashpoint::energy_inflation,gulf_energy_flashpoint,Energy-driven inflationary pressure,6.0,26.0,reactive (sensor),0.0,0.0,3.5999999999999996,15.6,0.0,0,reactive (sensor)
gulf_energy_flashpoint::shipping_insurance_cost,gulf_energy_flashpoint,Shipping insurance cost,13.0,13.0,buffering (inert),0.0,0.0,7.8,7.8,0.0,0,buffering (inert)
gulf_energy_flashpoint::global_oil_inventories,gulf_energy_flashpoint,Global oil inventories,16.0,22.0,critical (risk),0.0,0.0,9.6,13.2,0.0,0,reactive (sensor)
gulf_energy_flashpoint::refinery_throughput_rate,gulf_energy_flashpoint,Refinery throughput rate,15.0,21.0,reactive (sensor),0.0,0.0,9.0,12.6,0.0,0,reactive (sensor)
gulf_energy_flashpoint::tanker_availability,gulf_energy_flashpoint,Tanker fleet availability,16.0,20.0,critical (risk),0.0,0.0,9.6,12.0,0.0,0,reactive (sensor)
gulf_energy_flashpoint::physical_export_capacity,gulf_energy_flashpoint,Physical export capacity,15.0,15.0,buffering (inert),0.0,0.0,9.0,9.0,0.0,0,buffering (inert)
gulf_energy_flashpoint::pipeline_integrity,gulf_energy_flashpoint,Pipeline operational integrity,26.0,4.0,active (lever),0.0,0.0,15.6,2.4,0.0,0,active (lever)
