id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
nvidia_wallstreet_500bn_syndication,Nvidia–Wall Street $500bn financing syndication,process,horizon,by end of Q4,,2026-08-15,2026-11-30,0.9,436.0,392.4,27.933,29.067,6,"ai_capital_flow_rate, private_credit_leverage, investor_coordination, financing_transparency, equity_concentration, systemic_financial_risk","Headlines: ""Wall Street giants partner with Nvidia on $500bn AI financing deal""; ""Private credit roundup... Nvidia's half trillion for chips financing."""
private_credit_leverage_acceleration,Acceleration of private-credit financing for AI infra,process,horizon,next 6 months,,2026-08-15,2027-02-15,0.85,270.0,229.5,28.4,27.0,5,"private_credit_leverage, financing_transparency, systemic_financial_risk, ai_capital_flow_rate, valuation_correlation","Headlines: ""Private credit roundup: Nvidia's half trillion for chips financing..."" and ""AI’s infrastructure boom is getting more leveraged — and harder to track."""
us_pick_sides_policy_push,"US push for partners to ""pick sides"" in AI race",process,horizon,months,,2026-08-15,2026-12-31,0.8,204.0,163.2,26.0,34.0,3,"geo_alignment_pressure, regulatory_intervention, cross_sector_integration","Headline: ""EXCLUSIVE: US to tell partners they must pick sides in AI race with China."""
ponyai_uber_robotaxis_europe,"Deployment of 2,000 robotaxis in Europe",process,horizon,Q4 rollout window,,2026-09-01,2026-12-31,0.85,194.0,164.9,31.0,27.714,4,"cross_sector_integration, data_asset_concentration, compute_capacity_alloc, ai_capital_flow_rate","Headlines: ""China's Pony.ai, Uber to jointly deploy over 2,000 robotaxis in Europe""; ""Uber, Pony.ai to jointly deploy..."""
spacex_equity_catalysts_year_end,SpaceX equity catalysts through year-end,process,date,by year-end,2026-12-31,,,0.8,183.0,146.4,28.143,26.143,4,"equity_concentration, ownership_control_flux, valuation_correlation, investor_coordination","Headlines: ""Nvidia discloses $21 billion stake in SpaceX..."", ""Musk discloses 48.4% stake..."", ""Morgan Stanley flags four catalysts for SpaceX stock through year-end."""
google_spirit_data_auction_use,Google's acquisition and use of Spirit Airlines data,process,horizon,weeks–months,,2026-08-17,2026-10-31,0.9,183.0,164.7,31.0,30.5,3,"data_asset_concentration, cross_sector_integration, regulatory_intervention","Headline: ""Google wins Spirit Airlines data auction for AI training."""
charlie_ergen_mobilex_takeover,Charlie Ergen to take controlling stake in MobileX,event,horizon,weeks to close,,2026-08-15,2026-09-30,0.9,181.0,162.9,29.167,30.167,3,"ownership_control_flux, equity_concentration, investor_coordination","Headline: ""Exclusive | Charlie Ergen Agrees to Take Controlling Stake in MobileX."""
nvidia_neocloud_revenue_rollout,Nvidia neocloud funding revenue ramp,process,horizon,Q4 ramp,,2026-08-16,2026-12-31,0.7,166.0,116.2,27.5,27.667,4,"ai_capital_flow_rate, investor_coordination, valuation_correlation, systemic_financial_risk","Headline: ""Nvidia’s neocloud funding could drive significant revenue stream."""
uber_zipline_drone_scaling,Uber–Zipline drone delivery scale-up,process,horizon,next ~10 months,,2026-08-17,2027-06-30,0.6,148.0,88.8,30.167,24.667,4,"cross_sector_integration, compute_capacity_alloc, ai_capital_flow_rate, valuation_correlation","Headlines: ""Uber, Zipline partner on US drone delivery for Uber Eats"" and ""Uber, Zipline Partner With Goal of Hitting 1 Million Drone Deliveries a Day."""
goldman_syndication_closings,Goldman-led investor syndication for Nvidia deal,event,horizon,4-6 weeks,,2026-08-17,2026-09-30,0.75,140.0,105.0,25.4,28.0,3,"investor_coordination, ai_capital_flow_rate, financing_transparency","Headline: ""Goldman in talks with investors on Nvidia financing deal after landing prized role, sources say."""
unitree_shanghai_debut,Unitree Shanghai product debut,event,horizon,imminent debut window,,2026-08-20,2026-09-15,0.8,107.0,85.6,29.5,26.75,4,"ai_capital_flow_rate, partnerships_ma_rate, cross_sector_integration, valuation_correlation","Headlines: ""China's Unitree unveils 'Superman' robot as fervour builds ahead of Shanghai debut""; ""Unitree powers up for stellar Shanghai debut."""
