id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
us_japan_chip_ai_pact_execution,US–Japan $550bn pact execution,process,horizon,within 12 months,,2026-09-01,2027-09-30,0.7,201.0,140.7,20.5,20.1,4,"chip_supply_availability, ai_capital_flow, supply_chain_bottlenecks, investor_sentiment","“Japan, U.S. advance $550 billion investment pact with AI, chips in focus.”"
ai_data_center_buildouts,AI data‑center campus buildouts,process,horizon,6–24 months,,2026-09-01,2028-09-01,0.85,185.0,157.25,20.778,20.556,4,"data_center_capacity, ai_capital_flow, public_opposition, supply_chain_bottlenecks",“India's TCS unit to invest up to $7.4 billion in AI data center campus” and reporting on data centers transforming rural land markets.
anthropic_ipo,Anthropic IPO,event,horizon,next 6 months,,2026-09-01,2027-03-31,0.7,177.0,123.9,24.625,22.125,4,"ai_capital_flow, investor_sentiment, r_and_d_intensity, model_capability_level",“Anthropic close to awarding Morgan Stanley and Goldman Sachs top roles in $2tn IPO.”
ai_cyber_incident_wave,Wave of AI‑targeted cyber incidents,process,horizon,3–6 months,,2026-09-01,2027-03-31,0.8,172.0,137.6,16.4,17.2,5,"cyber_incident_rate, regulatory_stringency, investor_sentiment, ai_product_profitability, r_and_d_intensity","Coverage: Hugging Face attack, OpenAI agent hijack, and calls for stronger AI cybersecurity posture."
regulatory_and_local_bans_rise,Regulatory and local bans escalate,process,horizon,3–6 months,,2026-09-01,2027-03-31,0.8,169.0,135.2,12.444,18.778,4,"regulatory_stringency, public_opposition, investor_sentiment, ai_capital_flow","Headlines: NYC classroom ban, Minnesota 'nudification' ban, growing scrutiny over agents' safety and local data‑centre backlash."
nvidia_huggingface_review,Nvidia–Hugging Face deal review and integration,process,horizon,6–12 months,,2026-09-07,2027-06-30,0.7,143.0,100.1,21.833,23.833,4,"model_capability_level, r_and_d_intensity, regulatory_stringency, investor_sentiment",“Nvidia to buy open‑source AI platform Hugging Face for $13bn” and debate after the Hugging Face attack.
memory_chip_scaleup,Memory chip production scale-up,process,horizon,3–12 months,,2026-09-01,2027-09-30,0.75,122.0,91.5,17.375,15.25,4,"memory_capacity, chip_supply_availability, compute_unit_cost, supply_chain_bottlenecks",“Micron is doubling down on AI memory chips” and coverage of 'RAMageddon' and memory chip mania.
bytedance_loan_deployment,ByteDance loan deployment for AI expansion,process,horizon,6–12 months,,2026-09-01,2027-09-30,0.8,113.0,90.4,24.8,22.6,4,"ai_capital_flow, data_center_capacity, talent_pool_size, compute_capacity","“ByteDance secures $29.6 billion loan in AI push, sources say.”"
enhanced_geothermal_power_project,Enhanced geothermal project(s) add power,process,horizon,1–3 years,,2026-09-01,2029-12-31,0.5,69.0,34.5,16.75,17.25,3,"energy_price_reliability, data_center_capacity, compute_unit_cost",“This enhanced geothermal project aims to unlock gigawatts of power to fuel the data center boom.”
space_data_centers_push,Space data‑center push,process,horizon,multi‑year (low prob),,2026-09-01,2030-12-31,0.15,44.0,6.6,22.5,22.0,2,"data_center_capacity, supply_chain_bottlenecks",“Data centers in space: Four big obstacles and Elon Musk's ambitious timeline.”
