id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
big_tech_continued_spending_spree,Big Tech continued AI spending spree,process,horizon,months,,2026-08-01,2027-06-30,0.95,419.0,398.05,25.562,26.188,6,"ai_compute_demand_rate, capital_flow_to_ai, data_center_build_rate, power_infra_stress, credit_market_stress, investment_concentration","Big Tech AI spending spree tops $1tn; Google burns $6bn; Meta compute conundrum, higher borrowing costs (multiple headlines)."
anthropic_data_center_financing,Banks close financing for Anthropic data center,event,horizon,by year-end,,2026-08-01,2026-12-31,0.75,349.0,261.75,27.214,24.929,6,"capital_flow_to_ai, data_center_build_rate, avail_compute_capacity, credit_market_stress, power_infra_stress, investment_concentration","Banks in talks to lend $15B for Anthropic data center; Nexus advanced talks for $15B (WSJ, Bloomberg)."
brookfield_nextera_kentucky_campus,$100B Kentucky data-center campus development,process,horizon,multi-year,,2026-08-01,2029-12-31,0.7,332.0,232.4,29.214,23.714,5,"data_center_build_rate, avail_compute_capacity, power_infra_stress, capital_flow_to_ai, supply_bottleneck_level","Brookfield, NextEra to develop $100 billion data center campus in Kentucky (headline)."
azio_500mw_texas_buildout,500MW Texas data-center buildout (AZIO/AT&T),process,horizon,6-18 months,,2026-08-01,2027-12-31,0.85,206.0,175.1,28.444,22.889,5,"data_center_build_rate, avail_compute_capacity, power_infra_stress, capital_flow_to_ai, supply_bottleneck_level",AZIO AI signs AT&T fiber deal for 500MW Texas data center (headline).
ai_agent_hacking_regulatory_spike,Regulatory and security reaction to rogue AI agent hacks,process,horizon,weeks–months,,2026-08-01,2026-11-30,0.9,190.0,171.0,23.625,23.75,4,"regulatory_scrutiny, cyber_breach_rate, ai_safety_incident_rate, capital_flow_to_ai","OpenAI, Anthropic models breached companies; EU in talks with them after rogue agent hacks (multiple headlines)."
china_tech_exit_rules_and_support,China tightens tech exit rules while boosting spending/subsidies,process,horizon,months,,2026-08-01,2026-12-31,0.8,154.0,123.2,21.833,25.667,3,"geo_tech_tension, supply_bottleneck_level, capital_flow_to_ai",China tightens exit rules over tech security risks; pledges faster spending and is smart about subsidies (headlines).
mediatek_5bn_chip_financing,MediaTek $5B financing for AI data-center chips,event,horizon,6-11 months,,2026-08-01,2027-06-30,0.7,142.0,99.4,22.833,23.667,4,"chip_prod_capacity, supply_bottleneck_level, memory_price_level, capital_flow_to_ai",MediaTek plans $5 billion financing for AI data‑center chips (headline).
voluntary_ai_safety_test_talks,Voluntary AI safety testing talks and commitments,process,horizon,1-3 months,,2026-08-01,2026-10-31,0.6,119.0,71.4,23.6,23.8,3,"regulatory_scrutiny, ai_safety_incident_rate, agent_autonomy_level",Sam Altman to discuss voluntary AI safety tests with Trump officials; EU engages firms after hacks (headlines).
openai_price_cut_user_growth,OpenAI price cuts drive user and inference demand growth,process,horizon,weeks–months,,2026-08-01,2026-11-30,0.8,113.0,90.4,29.75,28.25,3,"ai_compute_demand_rate, avail_compute_capacity, capital_flow_to_ai",OpenAI surpasses one billion users after cutting prices (headline).
ionq_skywater_foundry_integration,IonQ acquisition of SkyWater — foundry integration,process,horizon,6-18 months,,2026-08-01,2027-12-31,0.8,51.0,40.8,22.0,25.5,2,"chip_prod_capacity, supply_bottleneck_level",FTC approves IonQ acquisition of SkyWater semiconductor foundry (headline).
