id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
widened_exit_controls_travel_law,New overseas travel and exit controls implementation,process,horizon,near term,,2026-09-15,2027-01-15,0.9,183.0,164.7,17.833,30.5,3,"state_control_intensity, legal_reach_abroad, corporate_outbound_inves","Headlines: 'China tightens control of overseas travel' and 'wealthy Chinese, tech talent confront tighter borders' — reduces outbound mobility and investment."
trump_xi_summit,Trump‑Xi summit and associated talks,event,horizon,within ~3 weeks,,2026-09-18,2026-10-10,0.8,163.0,130.4,21.429,23.286,3,"multilateral_cooperation, market_risk_premium, external_financial_links",Headlines: 'Scott Bessent to meet He Lifeng' and 'Trump‑Xi summit' — summit itself likely to move cooperation and market sentiment.
tech_exit_rules_enforcement,Enforcement of new tech/national security exit rules,process,horizon,ongoing (months),,2026-09-15,2027-03-15,0.95,159.0,151.05,13.167,26.5,3,"tech_export_restriction, state_control_intensity, legal_reach_abroad","Headlines: 'China tightens exit restrictions' and 'new tech, national security exit rules take effect' — enforcement will raise controls on tech flows."
slower_loan_growth_new_normal,Persistent slow domestic credit growth,process,horizon,6 months,,2026-09-14,2027-03-14,0.9,151.0,135.9,25.0,18.875,4,"domestic_credit_growth, domestic_investment_rate, household_consumption_fl, market_risk_premium","Headlines: 'China August bank lending disappoints' and 'slower loan growth is the new normal' — credit, investment, consumption pressured."
brics_payments_and_expansion_push,BRICS cooperation and payments link expansion,process,horizon,6 months,,2026-09-14,2027-03-14,0.7,135.0,94.5,18.833,22.5,3,"multilateral_cooperation, external_financial_links, legal_reach_abroad",Headlines: 'Xi urges BRICS' and 'Booming BRICS payments systems seek more cross-border links' — pushes alternative cooperation and links.
reshoring_and_fdi_return,Return of firms and rise in China investment,process,horizon,6 months,,2026-09-14,2027-03-14,0.65,122.0,79.3,26.5,20.333,3,"corporate_reshoring_rate, domestic_investment_rate, corporate_outbound_inves",Headlines: 'Companies left China... now some are heading back' and 'German firms lift China investment' — suggests reshoring/return flows.
huawei_drive_for_advanced_chips,State/industry push to scale advanced chipmaking,process,horizon,6–12 months,,2026-09-14,2027-09-14,0.8,99.0,79.2,22.333,16.5,3,"advanced_manufacturing_s, industrial_policy_suppor, tech_export_restriction",Headlines: 'Huawei drives China’s push to make advanced chips' — boosts manufacturing and targeted industrial support.
persistent_home_price_weakness,Ongoing weakness in home prices and property market,process,horizon,6 months,,2026-09-15,2027-03-15,0.85,95.0,80.75,20.8,19.0,3,"real_estate_price_level, domestic_investment_rate, household_consumption_fl","Headlines: 'China home prices remain weak' and 'retail sales miss forecast' — property weakness persists, hitting demand."
bessent_he_lifeng_meeting,Bessent meets He Lifeng in New York,event,horizon,this weekend,,2026-09-19,2026-09-20,0.9,94.0,84.6,25.5,23.5,2,"external_financial_links, market_risk_premium",Headline: 'Bessent will meet with China's He Lifeng this weekend' — could ease market frictions and improve financial linkages.
lng_longterm_contract_buildout,Acceleration of long‑term LNG import contracting,process,horizon,6 months,,2026-09-14,2027-03-14,0.75,68.0,51.0,20.0,17.0,2,"energy_import_deal_rate, external_financial_links",Headlines: 'China Gas signs 20-year LNG import deal' plus Chevron/QatarEnergy LNG deal activity — points to more long‑term contracting.
