id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
us_resumption_of_strikes,Resumption of U.S. kinetic strikes,event,horizon,up to 1 month,,2026-07-27,2026-08-31,0.35,365.0,127.75,23.667,20.278,8,"escalation_intensity, conventional_force_level, weapons_arsenal_capacity, oil_price_level, maritime_transit_volume, insurance_coverage, market_volatility_level, deterrence_perception","""Trump considers ‘massive attack’ on Iran""; ""Trump says he is ready for military action if Iran talks fail""; ""US strikes Iran after American troops killed"""
us_iran_pause_negotiations,U.S.–Iran talks and bombing pause,process,horizon,2-3 weeks,,2026-07-26,2026-08-15,0.8,337.0,269.6,24.429,24.071,6,"escalation_intensity, diplomatic_engagement_ra, information_flow_rate, escalation_aversion, oil_price_level, market_volatility_level","""U.S. pauses Iran strikes""; ""US pauses Iran strikes as Oman pursues Hormuz transit deal""; ""Trump says US is talking with Iran"""
houthi_redsea_campaign,Houthis expand Red Sea attacks,process,horizon,weeks,,2026-07-25,2026-08-31,0.85,315.0,267.75,23.4,21.0,7,"proxy_attack_rate, maritime_transit_volume, insurance_coverage, shipping_rerouting_cost, oil_supply_flow, oil_price_level, escalation_intensity","""Houthis fire on Saudi Red Sea oil sites""; ""Houthis say they targeted Saudi east-west oil transport""; ""Red Sea shipping slows"""
saudi_strikes_against_houthis,Saudi and Gulf strikes on Houthi targets,process,horizon,weeks,,2026-07-25,2026-08-31,0.75,193.0,144.75,24.286,27.571,6,"escalation_intensity, proxy_attack_rate, conventional_force_level, maritime_transit_volume, oil_supply_flow, information_flow_rate","""Saudi military strikes Houthi targets in Yemen""; ""Saudi strikes Houthis after militia attacked Red Sea shipping"""
netanyahu_trump_meeting,Netanyahu meeting with Trump on Iran,event,horizon,within 1-2 weeks,,2026-07-28,2026-08-07,0.9,184.0,165.6,20.571,26.286,4,"alliance_cohesion, diplomatic_engagement_ra, information_flow_rate, escalation_aversion","""Netanyahu says Iran is top agenda in meeting with Trump""; earlier 'Netanyahu will visit US next week'"
us_force_surge,U.S. surge of forces toward Middle East,process,horizon,2-3 weeks,,2026-07-25,2026-08-15,0.7,169.0,118.3,19.0,21.125,5,"conventional_force_level, deterrence_perception, escalation_aversion, command_control_res, weapons_arsenal_capacity","""U.S. Surges Forces Toward Middle East, Giving Trump Options to Expand Iran War""; ""U.S. Surges Forces Toward Middle East"""
insurance_restrictions_for_redsea,Insurance restrictions on Red Sea cargoes,process,horizon,weeks,,2026-07-25,2026-08-31,0.9,162.0,145.8,23.9,16.2,5,"insurance_coverage, shipping_rerouting_cost, maritime_transit_volume, oil_supply_flow, market_volatility_level","""Ship insurers restrict war coverage for Saudi Arabian cargoes in Red Sea""; ""Tanker switches Asia voyage via Suez"""
us_munition_depletion_concerns,U.S. munitions and air-defense stock constraints,process,horizon,weeks,,2026-07-26,2026-08-31,0.6,159.0,95.4,15.143,22.714,4,"weapons_arsenal_capacity, deterrence_perception, escalation_aversion, information_flow_rate","""How Many U.S. Missiles Are Left?""; ""Trump Pauses Iran Strikes as Officials Weigh Dwindling Air Defense Stocks"""
shipping_reroute_to_suez,Increased rerouting via Suez and longer voyages,process,horizon,1-3 months,,2026-07-25,2026-09-30,0.9,142.0,127.8,23.778,15.778,5,"shipping_rerouting_cost, maritime_transit_volume, oil_supply_flow, insurance_coverage, market_volatility_level","""Tanker switches Asia voyage via Suez""; ""Add a month at sea and $2.5 million""; ""Saudi oil exports increasingly depend on Suez"""
washington_london_hormuz_plan_meet,Washington–London meeting to resolve Hormuz crisis,event,horizon,2-3 weeks,,2026-07-26,2026-08-15,0.65,137.0,89.05,21.167,22.833,4,"diplomatic_engagement_ra, maritime_transit_volume, escalation_aversion, alliance_cohesion","""Washington and London discuss plan for meeting to resolve Hormuz crisis""; 'Oman pursues Hormuz transit deal'"
