id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
ceasefire_expiry_and_potential_escalation,Ceasefire/peace-deal deadline and risk of Iranian escalation,event,horizon,within weeks,,2026-08-17,2026-09-14,0.6,325.0,195.0,16.429,23.214,5,"asymmetric_attack_rate, maritime_incident_rate, blockade_pressure_level, diplomatic_tension, oil_price_volatility",Headlines: 'Iran says it will escalate if US does not honour deal within weeks'; 'U.S. Futures Mostly Higher as Iran Ceasefire Set to Expire.'
sustained_us_blockade_operations,Sustained U.S. blockade operations in/around Hormuz,process,horizon,months,,2026-08-15,2026-12-31,0.8,258.0,206.4,20.133,17.2,6,"blockade_pressure_level, shipping_throughput, shipping_rerouting_exten, insurance_premium_index, maritime_choke_congestio, oil_price_volatility","Headlines: 'US says it can keep naval blockade on Iran ""indefinitely""'; 'Hormuz traffic slows further.'"
continued_attacks_on_commercial_vessels,Continuing attacks on tankers and commercial vessels in Hormuz,process,horizon,weeks–months,,2026-08-15,2026-10-31,0.8,239.0,191.2,17.0,18.385,5,"asymmetric_attack_rate, maritime_incident_rate, shipping_throughput, insurance_premium_index, maritime_choke_congestio",Headlines: 'UAE's ADNOC says one of its vessels came under attack'; 'UAE says Iran attacked ADNOC vessel.'
carrier_rotations_and_deployments,Aircraft carrier rotations and fresh deployments,process,horizon,weeks,,2026-08-15,2026-09-30,0.9,169.0,152.1,13.5,21.125,4,"naval_presence_density, maritime_incident_rate, asymmetric_attack_rate, diplomatic_tension",Headlines: 'U.S. Sending Fresh Aircraft Carrier to Middle East'; 'Pentagon Rotates Aircraft Carriers.'
threats_against_oman_and_regional_reactions,Public threats to bomb Oman and potential regional backlash,process,horizon,weeks,,2026-08-17,2026-09-30,0.4,121.0,48.4,15.0,24.2,3,"diplomatic_tension, naval_presence_density, blockade_pressure_level",Headlines: 'Trump threatens to bomb Oman if it “gets in the way” of US-Iran negotiations.'
us_unprecedented_economic_campaign,U.S. ramps unprecedented economic pressure on Iran,process,horizon,weeks–months,,2026-08-15,2026-10-31,0.85,114.0,96.9,11.143,16.286,3,"sanctions_intensity, economic_resilience, diplomatic_tension",Headlines: 'U.S. to use economic tactics on Iran that have never been seen'; 'Trump wants more economic pressure on Iran.'
gulf_oil_spill_and_navigation_restrictions,Oil slicks/off-Oman spill prompting navigation limits,process,horizon,weeks,,2026-08-15,2026-09-15,0.5,102.0,51.0,20.833,17.0,4,"maritime_incident_rate, shipping_throughput, shipping_rerouting_exten, insurance_premium_index",Headline: 'Two slicks appear in Gulf as huge oil spill off Oman threatens disaster.'
chinese_refiners_sanctioned_oil_purchases,Chinese refiners' purchases of sanctioned Iranian oil continue,process,horizon,months,,2026-08-16,2026-11-30,0.6,79.0,47.4,12.2,15.8,3,"global_oil_supply_balanc, sanctions_intensity, oil_price_volatility",Headlines: 'Chinese refiner Hengli accused of funding Iran through sanctioned oil purchases'; 'This Sprawling Chinese Refinery Is Bankrolling Tehran.'
strategic_reserve_depletion_risk,Strategic reserves near damaging low levels,process,horizon,weeks–months,,2026-08-15,2026-10-15,0.6,49.0,29.4,15.286,7.0,3,"strategic_reserve_level, fuel_retail_price_level, oil_price_volatility","Headline: 'Depleted strategic oil reserve nears level that raises concerns about damage to caverns, operations.'"
energy_secretary_refiner_meeting,Energy Secretary meets refiners to boost fuel output,event,horizon,by end of month,,2026-08-17,2026-08-31,0.7,37.0,25.9,18.5,6.167,4,"refinery_utilization_rat, fuel_retail_price_level, oil_price_volatility, economic_resilience",Headline: 'Energy Secretary Wright to meet refiners on boosting fuel output.'
