id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
china_eases_h200_limits,China eases limits on Nvidia H200 chips,process,horizon,near term,,2026-08-22,2026-11-30,0.8,131.0,104.8,16.333,21.833,3,"ai_hardware_supply, geopolitical_fragment, market_concentration",Headline: 'China eases limits on Nvidia H200 chips as AI race escalates' (2026-08-22).
nvidia_earnings_week,Nvidia earnings report (near-term),event,horizon,this week,,2026-08-24,2026-08-28,0.95,130.0,123.5,20.667,21.667,3,"investor_sentiment, ai_capital_inflows, market_concentration","Headlines: 'Nvidia's key earnings loom'; 'Nvidia’s Earnings Will Test Wall Street’s Faith in the AI Boom' (2026-08-22, 08-24)."
robotics_commercialization_accel,Acceleration of robotics commercialization,process,horizon,by end of 2027,,2026-08-24,2027-12-31,0.75,122.0,91.5,23.167,20.333,3,"robotics_deploy_rate, product_adoption_rate, model_dev_velocity","Headlines: 'Chinese humanoid robot maker surges in debut'; 'ACE Robotics chairman: robot brains will have ChatGPT moment by end of 2027' (2026-08-22, 08-22)."
nvidia_perplexity_invest_talks,Nvidia talks to invest in Perplexity,event,horizon,next months,,2026-08-24,2026-12-31,0.6,112.0,67.2,20.0,28.0,2,"ai_capital_inflows, market_concentration",Headline: 'Nvidia in talks to invest in Perplexity at $30B valuation' (2026-08-24).
nvidia_compute_deploy_end_2026,Nvidia-led compute capacity expansion,process,horizon,by end of year,,2026-08-24,2026-12-31,0.85,110.0,93.5,24.571,15.714,3,"ai_compute_capacity, ai_hardware_supply, data_center_build_rate","Headlines: 'Nvidia says Groq racks will be online this year'; 'Nvidia invests in data center developer Cloverleaf' (2026-08-24, 08-22/23)."
alibaba_10b_share_placement,Alibaba $10.2bn Hong Kong share placement,event,horizon,capital raise period,,2026-08-24,2026-09-30,0.95,102.0,96.9,23.0,25.5,2,"ai_capital_inflows, investor_sentiment",Headlines: 'Alibaba launches $10.2bn share placement to fund AI'; 'Alibaba shares plunge after announcing $10.2 billion share placement' (2026-08-23/24).
memory_chip_cost_pressure,Rising memory costs / server price hikes,process,horizon,weeks–months,,2026-08-24,2026-10-31,0.8,99.0,79.2,18.667,16.5,3,"memory_chip_cost, ai_hardware_supply, model_pricing_pressure",Headlines: 'Micron CEO: AI has totally changed the equation for the boom-and-bust memory industry' and 'Nvidia customers face over 15% server price hikes as memory costs soar' (2026-08-22).
model_price_competition,Continued OpenAI/Anthropic price competition,process,horizon,next 3 months,,2026-08-24,2026-11-24,0.9,89.0,80.1,24.2,17.8,2,"model_pricing_pressure, product_adoption_rate","Headlines: 'OpenAI cuts developer pricing for frontier GPT-5.6' and 'OpenAI and Anthropic in price war' (2026-08-22, 08-23)."
jackson_hole_briefing,Jackson Hole / central-bank signals,event,horizon,next 3 days,,2026-08-26,2026-08-28,0.9,59.0,53.1,21.333,19.667,2,"investor_sentiment, ai_capital_inflows","Headlines: 'Jackson Hole to test pillars of stock rally'; 'AI Jitters and Geopolitical Threats Mark Start of Busy Week' (2026-08-22, 08-24)."
spacex_nvidia_satellite_program_2027,SpaceX plans Nvidia-powered AI satellites (2027),process,horizon,in 2027,,2027-01-01,2027-12-31,0.7,51.0,35.7,24.0,17.0,2,"ai_compute_capacity, market_concentration",Headline: 'SpaceX plans to put Nvidia-powered AI satellites in orbit next year' (2026-08-24).
