id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
ecb_market_correction_warning,Central-bank warnings of AI market correction,process,horizon,weeks–months,,2026-08-19,2026-11-30,0.6,153.0,91.8,23.571,21.857,3,"investor_sentiment_ai, ai_asset_valuation_level, financial_leverage_in_ai","Headlines: 'AI market correction is coming, ECB blog predicts', 'Worrisome: AI is driving a looming market correction.'"
china_investment_slump_policy_response,China investment slump and policy reaction,process,horizon,next 3 months,,2026-08-19,2026-11-30,0.7,142.0,99.4,16.0,23.667,3,"macro_financing_conditio, ai_capital_inflow_rate, startup_funding_velocity","Headlines: 'China's economy slows further in July', 'China investment slump deepens as economy shows signs of weakness.'"
leveraged_infrastructure_buildout,Leveraged AI infrastructure buildout and debt growth,process,horizon,6 months,,2026-08-19,2027-02-28,0.8,135.0,108.0,19.778,15.0,4,"financial_leverage_in_ai, ai_hardware_capex_rate, supply_chain_resilience, ai_compute_energy_demand","Headlines: 'AI’s infrastructure boom is getting more leveraged', 'AI: like a debt machine.'"
post_rout_fundraising_and_reallocation,Fundraising and reallocation after AI rout,process,horizon,coming months,,2026-08-19,2026-11-30,0.65,134.0,87.1,23.667,22.333,3,"ai_capital_inflow_rate, startup_funding_velocity, investor_sentiment_ai","Headlines: 'Leopold Aschenbrenner’s Situational Awareness seeks to raise capital after AI rout', 'Floating Point Raises $125 Million Fund.'"
marvell_google_custom_chip_deal,Marvell–Google custom silicon deal execution,process,horizon,next 4+ months,,2026-08-19,2026-12-31,0.9,128.0,115.2,25.5,21.333,4,"ai_hardware_capex_rate, compute_infrastructure_c, ai_asset_valuation_level, ai_capital_inflow_rate","Headlines: 'Marvell gives Google option to buy $12.2 billion in custom chip deal', 'Marvell pops 6% on AI chip deal.'"
robotics_ipos_and_rally,Robotics IPO wave and market debuts,process,horizon,coming months,,2026-08-19,2026-11-30,0.8,124.0,99.2,24.0,20.667,4,"ai_asset_valuation_level, hardware_end_market_dema, startup_funding_velocity, m_and_a_activity_rate","Headlines: 'Unitree soars in Shanghai debut', 'Unitree IPO Could Mark New Era', 'Chery's robot unit eyes IPO.'"
samsung_chip_price_hike,Samsung raises chipmaking prices,process,horizon,2-3 months,,2026-08-19,2026-11-30,0.85,109.0,92.65,24.0,21.8,3,"ai_hardware_capex_rate, hardware_end_market_dema, ai_asset_valuation_level",Headline: 'Samsung hikes chipmaking prices by up to 15% on demand spike.'
uk_frontier_model_access_review,UK review of access to frontier AI models,process,horizon,by year-end,,2026-08-19,2026-12-31,0.6,97.0,58.2,13.6,19.4,2,"regulatory_scrutiny_inte, data_availability_volume",Headline: 'UK examines economic hit from loss of access to frontier AI models.'
defense_ai_funding_acceleration,Accelerated defense and military AI funding,process,horizon,months,,2026-08-19,2026-12-31,0.75,93.0,69.75,24.75,23.25,3,"ai_capital_inflow_rate, compute_infrastructure_c, ai_hardware_capex_rate","Headlines: 'Pentagon pressure to move AI faster drives Smack's new funding round', 'US awards Raytheon $22.9 billion deal.'"
corporate_data_acquisitions_for_ai,Corporates buying datasets for AI training,process,horizon,1–3 months,,2026-08-19,2026-10-31,0.85,65.0,55.25,9.75,16.25,2,"data_availability_volume, regulatory_scrutiny_inte","Headlines: 'Google wins Spirit Airlines data auction for AI training', 'Spirit Flight Attendants Fight Google’s Data Bid for AI.'"
