id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
openai_anthropic_breach_wave,OpenAI/Anthropic breach and investigations,process,horizon,coming months,,2026-09-18,2026-12-31,0.9,282.0,253.8,24.727,25.636,5,"cyber_security_exposure, safety_incident_frequenc, regulatory_pressure, public_trust_in_ai, safety_investment_level",OpenAI breached by researchers using Anthropic models; Exclusive: Hackers Used Anthropic’s Claude to Break Into OpenAI.
industry_slowdown_pacing_debate,Industry debate over slowdown/pacing,process,horizon,months-long debate,,2026-09-18,2027-03-31,0.9,178.0,160.2,27.714,25.429,3,"model_dev_velocity, competition_intensity, safety_investment_level",AI leaders want to ‘pace the frontier’; Nvidia and Meta bosses reject efforts to co‑ordinate slowdown; debate continues.
anthropic_november_ipo,Anthropic IPO in November,event,horizon,November 2026,,2026-11-01,2026-11-30,0.8,175.0,140.0,23.5,29.167,3,"capital_flow_rate, market_valuation_pressur, competition_intensity",Anthropic’s IPO will happen a month later than expected; Anthropic shifts planned IPO to November.
anthropic_accenture_eval_investment,Anthropic–Accenture $2bn evaluation push,process,horizon,next 6 months,,2026-09-19,2027-03-31,0.95,173.0,164.35,25.857,24.714,3,"safety_investment_level, independent_eval_coverag, regulatory_pressure","Anthropic, Accenture to invest $2 billion in AI model evaluation; Anthropic selects Accenture as first embedded evaluator."
california_kill_switch_order,California 'kill switch' executive order follow‑through,process,horizon,months,,2026-09-18,2027-03-31,0.9,135.0,121.5,20.4,27.0,3,"regulatory_pressure, crossborder_policy_align, public_trust_in_ai",California Gov. Newsom issues executive order to rein in AI; Newsom advances AI ‘kill switch’ in response to safety fears.
faa_ai_atc_rollout,FAA AI air‑traffic control rollout,process,horizon,next 9 months,,2026-09-18,2027-06-30,0.8,131.0,104.8,31.4,26.2,3,"deployment_rate_of_model, safety_investment_level, safety_incident_frequenc",U.S. to Launch AI-Powered Tool for Air-Traffic Control; The FAA’s $875 Million Plan to Use AI to Ease Air-Traffic Woes.
sam_altman_un_briefing,Sam Altman briefs UN Security Council,event,horizon,next week window,,2026-09-22,2026-10-03,0.95,115.0,109.25,18.8,23.0,3,"regulatory_pressure, crossborder_policy_align, public_trust_in_ai",EXCLUSIVE: OpenAI's Sam Altman to brief UN Security Council next week; expected to spur international policy debate.
nscale_us_ip o_process,Nscale US IPO and cloud expansion,event,horizon,by end of 2026,,2026-09-20,2026-12-31,0.7,105.0,73.5,21.8,21.0,3,"compute_capacity_stock, compute_buildout_rate, capital_flow_rate",Nvidia-Backed Cloud Startup Nscale Files for IPO; Nscale reveals revenue surge in US IPO filing.
anthropic_bio_lab_ramp,Anthropic sets up biology lab,process,horizon,ongoing ramp,,2026-09-18,2027-06-30,0.9,103.0,92.7,25.75,25.75,3,"safety_investment_level, independent_eval_coverag, regulatory_pressure",EXCLUSIVE: Anthropic quietly sets up biology lab as it ramps AI drug program; raises evaluation and safety concerns.
labour_conference_ai_regulator_vote,Labour conference vote on AI regulator,event,horizon,by early Oct 2026,,2026-09-20,2026-10-10,0.85,85.0,72.25,19.333,28.333,2,"regulatory_pressure, crossborder_policy_align",Labour conference set to vote on new AI regulator as cabinet concerns grow.
