id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
houthi_red_sea_attacks_and_fee_policy,Houthi attacks and potential Red Sea fees persist,process,horizon,2-3 months,,2026-08-01,2026-10-31,0.75,483.0,362.25,21.062,30.188,6,"attack_incidence_rate, chokepoint_security, rerouting_rate, war_risk_premium_level, seaborne_flow_rate, tanker_utilization_rate","Headlines: Houthis attacking, considering fees; Saudi seeks coalition to protect Red Sea shipping."
iran_hormuz_interdiction_threats,Iran threats and interdictions in Strait of Hormuz,process,horizon,next 1-2 months,,2026-08-01,2026-09-30,0.75,386.0,289.5,24.6,25.733,6,"chokepoint_security, seaborne_flow_rate, rerouting_rate, tanker_utilization_rate, price_volatility_rate, war_risk_premium_level","Headlines: Iran threatens to choke off routes, stops ships in Hormuz; tankers near Oman come under fire."
saudi_multinational_defence_coalition,Saudi-led multinational maritime defence coalition forms,process,horizon,1-3 months,,2026-07-31,2026-10-31,0.8,296.0,236.8,15.3,29.6,5,"naval_presence_level, chokepoint_security, attack_incidence_rate, war_risk_premium_level, tanker_utilization_rate",Headlines: Saudi Arabia unveils/seeks multinational maritime defence coalition; Saudi joins US strikes.
us_saudi_military_action_escalation,US–Saudi strikes and allied actions escalate,process,horizon,next 1-2 months,,2026-08-01,2026-09-30,0.65,257.0,167.05,25.273,23.364,4,"attack_incidence_rate, war_risk_premium_level, price_volatility_rate, crude_price_level",Headlines: Saudi joins US strikes; oil jumps after fresh strikes; Trump threats escalate responses.
ukmto_reported_incidents_gulf_of_oman,Reported tanker incidents off Oman (UKMTO),process,horizon,2 weeks,,2026-08-01,2026-08-14,0.6,186.0,111.6,19.333,31.0,4,"attack_incidence_rate, chokepoint_security, seaborne_flow_rate, price_volatility_rate",Headlines: UKMTO reports two tanker incidents off Oman; tankers near Oman come under fire.
turkey_iraq_one_year_pipeline_deal,Turkey-Iraq one‑year oil pipeline deal begins,process,horizon,1 year,,2026-08-01,2027-07-31,0.9,132.0,118.8,26.8,26.4,3,"seaborne_flow_rate, rerouting_rate, tanker_utilization_rate","Headline: Turkey, Iraq sign one-year oil pipeline deal."
shadow_fleet_oil_spill_off_oman,Oil spill from shadow fleet tanker off Oman spreads,process,horizon,days–weeks,,2026-08-01,2026-08-21,0.6,131.0,78.6,25.6,26.2,4,"seaborne_flow_rate, chokepoint_security, refined_price_level, shipping_capacity","Headline: Oil spill from shadow fleet tanker spreading off Oman, satellite images show."
india_spot_oil_procurement,India increases spot oil purchases,process,horizon,next month,,2026-08-01,2026-08-31,0.7,130.0,91.0,29.667,21.667,3,"strategic_stockpiles, seaborne_flow_rate, crude_price_level",Headline: Indian Oil Corp boost spot oil buy amid Middle East crisis.
qatarenergy_us_lng_cargo_purchases,QatarEnergy buys US LNG cargoes to offset Hormuz disruption,process,horizon,2-3 months,,2026-07-30,2026-10-31,0.85,127.0,107.95,24.333,21.167,4,"lng_trade_flow_rate, tanker_utilization_rate, seaborne_flow_rate, shipping_capacity",Headlines: QatarEnergy buys 33 US LNG cargoes; QatarEnergy-controlled LNG tanker exits Hormuz.
opec_plus_quota_lifts,OPEC+ may keep lifting output quotas,process,horizon,by end of Q3,,2026-08-01,2026-09-30,0.6,98.0,58.8,32.8,19.6,3,"crude_price_level, seaborne_flow_rate, price_volatility_rate",Headline: OPEC+ may keep lifting its oil output quotas as the Iran war broadens.
