id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
ceasefire_expiry_risk,Ceasefire expiry and possible escalation,event,horizon,within ~4 weeks,,2026-08-18,2026-09-15,0.78,347.0,270.66,22.8,23.133,6,"perceived_escalation_ris, maritime_incident_freq, naval_presence_intensity, strait_throughput_rate, oil_price_volatility, supply_disruption_volume",Headlines: 'U.S.-Iran ceasefire expiry risks prolonged conflict'; 'Iran says will escalate if US does not honour deal within weeks.'
us_blockade_maintenance,U.S. sustains naval blockade capacity,process,horizon,months,,2026-08-18,2026-11-18,0.8,252.0,201.6,20.75,21.0,5,"naval_presence_intensity, maritime_incident_freq, strait_throughput_rate, shipping_insurance_premi, perceived_escalation_ris","Headline: 'US says it can keep naval blockade on Iran ""indefinitely,"" vows more economic pressure.'"
threats_against_oman_and_strike_risk,Threats to strike Oman (escalatory political actions),event,horizon,next 1–6 weeks,,2026-08-18,2026-09-30,0.25,248.0,62.0,19.636,22.545,5,"perceived_escalation_ris, naval_presence_intensity, diplomatic_engagement_in, maritime_incident_freq, oil_price_volatility",Headlines: 'Trump threatens to bomb Oman'; 'Trump Floats Strikes on Oman if It Interferes in Iran Peace Efforts.'
iran_hormuz_closure_policy,Iran maintains Strait closure until US meets conditions,process,horizon,ongoing (weeks–months),,2026-08-18,2026-10-18,0.86,209.0,179.74,22.75,17.417,5,"strait_throughput_rate, average_transit_delay, maritime_incident_freq, oil_price_volatility, regional_economic_strain",Headlines: 'Hormuz Strait to remain shut until U.S. meets interim deal conditions'; 'Hormuz to remain closed until U.S. meets MoU conditions.'
diplomatic_talks_stall,Stalled U.S.–Iran diplomacy and limited engagement,process,horizon,weeks,,2026-08-16,2026-09-30,0.82,150.0,123.0,17.0,25.0,3,"diplomatic_engagement_in, perceived_escalation_ris, economic_pressure_intens",Headlines: 'Most Gulf bourses gain despite stalled Iran talks'; 'Trump says no talks are taking place with Iran and none are scheduled.'
houthi_red_sea_operations_increase,Expanded Houthi attacks affecting regional shipping,process,horizon,weeks–months,,2026-08-17,2026-10-17,0.6,134.0,80.4,20.167,22.333,4,"maritime_incident_freq, shipping_insurance_premi, strait_throughput_rate, perceived_escalation_ris",Headlines: 'Houthis say they attacked Saudi vessels off Yemen’s Mocha'; 'Houthi Threat to Red Sea Shipping Rises.'
oil_spill_off_oman,Ongoing oil slicks and spill threat off Oman,process,horizon,weeks,,2026-08-16,2026-09-30,0.7,114.0,79.8,16.0,19.0,4,"environmental_damage_ext, strait_throughput_rate, port_operational_capacit, regional_economic_strain",Headline: 'Two slicks appear in Gulf as huge oil spill off Oman threatens disaster.'
saudi_alternative_exports,Saudi Aramco offers crude outside Hormuz / resumed loadings,process,horizon,weeks,,2026-08-18,2026-09-30,0.75,92.0,69.0,24.6,18.4,4,"strait_throughput_rate, supply_disruption_volume, commercial_oil_stocks, oil_price_volatility",Headlines: 'Saudi Aramco offers crude outside Hormuz to some Asian refiners'; 'Saudi Arabia resumes oil loadings.'
insurance_market_strain,Rising shipping premiums and shrinking insurer capacity,process,horizon,weeks–months,,2026-08-17,2026-10-17,0.75,76.0,57.0,21.5,12.667,3,"shipping_insurance_premi, insurance_coverage_capac, strait_throughput_rate",Headlines: 'Shipping slows through Strait of Hormuz'; 'Oil market starts pricing in a prolonged Hormuz crisis' and related market coverage concerns.
strategic_reserve_cavern_constraints,Strategic reserve nearing operational limits,process,horizon,weeks–months,,2026-08-16,2026-10-18,0.72,22.0,15.84,16.4,4.4,3,"strategic_reserve_level, oil_price_volatility, commercial_oil_stocks","Headline: 'Depleted strategic oil reserve nears level that raises concerns about damage to caverns, operations.'"
